"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"B-Injury","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","No Controls","Rantoul","2016","0","1","4065","POINT (-88.1284190014134 40.3081799986824)"
"PD","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","0","4082","POINT (-88.2772135546489 40.139231240087)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4084","POINT (-88.2770372624654 40.1128500001076)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4085","POINT (-88.2817400025199 40.0983399978839)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Rantoul","2016","0","1","4091","POINT (-88.1365200024162 40.3121199979756)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2016","0","1","4100","POINT (-88.3082095139606 40.2339328821723)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Unknown","Urbana","2007","0","1","3001","POINT (-88.219401969333 40.1128423336743)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4107","POINT (-88.2817400025199 40.0983399978839)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2016","0","1","4108","POINT (-88.2949125173056 40.0551095639588)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4116","POINT (-88.2740030899939 40.1273886270874)"
"A-Injury","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2016","0","1","4119","POINT (-88.2767714304401 40.1128499974673)"
"B-Injury","Pedalcyclist","Clear","Darkness","Dry","Traffic Signal","Unincorporated","2016","0","1","4130","POINT (-88.2954508450981 40.1131193446294)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4135","POINT (-88.2768854735559 40.1196579647379)"
"B-Injury","Pedalcyclist","Clear","Darkness","Dry","Stop Sign/Flasher","Tolono","2016","0","1","4142","POINT (-88.2557799424365 39.9861227313075)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4144","POINT (-88.2603735928306 40.1126636818119)"
"C-Injury","Pedalcyclist","Cloudy/Overcast","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4146","POINT (-88.2466700022763 40.0980899980044)"
"PD","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","0","4148","POINT (-88.2435595375961 40.1271999986936)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4150","POINT (-88.2501409994595 40.1126108649269)"
"PD","Pedalcyclist","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Champaign","2016","0","0","4151","POINT (-88.2577385899044 40.132066789215)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4184","POINT (-88.2488600018586 40.0981033980304)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Savoy","2016","0","1","4187","POINT (-88.2495560387494 40.069007093878)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4196","POINT (-88.2437287305277 40.1359700748984)"
"A-Injury","Pedalcyclist","Rain","Darkness, Lighted Road","Wet","Traffic Signal","Urbana","2016","0","1","4200","POINT (-88.2061593161635 40.105589955608)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4201","POINT (-88.2240200018755 40.1163996397898)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4202","POINT (-88.2193000019309 40.1090899981755)"
"PD","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2016","0","0","4204","POINT (-88.2291389631984 40.1079911916239)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","4205","POINT (-88.2159898084544 40.1058215263117)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4206","POINT (-88.2239900023151 40.1128099977867)"
"A-Injury","Pedalcyclist","Clear","Darkness","Dry","Stop Sign/Flasher","Urbana","2016","0","1","4207","POINT (-88.2014299047317 40.1128763520162)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2016","0","1","4210","POINT (-88.2238698502563 40.1070110588245)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2016","0","1","4211","POINT (-88.2192600017488 40.1073899977532)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4212","POINT (-88.2094000021063 40.0837299977943)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2601","POINT (-88.238521640447 40.096671779313)"
"B-Injury","Pedalcyclist","Clear","Daylight","Wet","No Controls","Unincorporated","2013","0","1","2602","POINT (-88.3651527082481 40.2011400010816)"
"B-Injury","Pedalcyclist","Rain","Daylight","Wet","Stop Sign/Flasher","Urbana","2013","0","1","2603","POINT (-88.1905702617457 40.0906899795286)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2013","0","1","2604","POINT (-88.2182720013475 40.110603167003)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2605","POINT (-88.2879867151725 40.1093210851764)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Rantoul","2013","0","1","2606","POINT (-88.157351538385 40.3083406294106)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2013","0","1","2607","POINT (-88.2770402533457 40.1322199964001)"
"Property Damage","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2013","0","0","2608","POINT (-88.2193700481743 40.1155043477924)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2609","POINT (-88.2418400006839 40.116339999128)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2013","0","1","2610","POINT (-88.2050401690877 40.1140673380323)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2611","POINT (-88.2847700003983 40.0983699996288)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2013","0","1","2612","POINT (-88.1994294046144 40.127390007469)"
"B-Injury","Pedalcyclist","Clear","Dawn","Dry","Stop Sign/Flasher","Unincorporated","2013","0","1","2613","POINT (-88.2091900011313 40.0691199999758)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Stop Sign/Flasher","Urbana","2013","0","1","2614","POINT (-88.220739768023 40.1164299997457)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2013","0","1","2615","POINT (-88.2088699997781 40.1092199997006)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2013","0","1","2617","POINT (-88.2089200020434 40.1115899988419)"
"B-Injury","Pedalcyclist","Fog/Smoke/Haze","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2618","POINT (-88.2767300009141 40.111909999698)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2619","POINT (-88.2355795562068 40.1102689280388)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2620","POINT (-88.2370400199707 40.1090312055187)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2013","0","1","2621","POINT (-88.2173869475873 40.1106240155123)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2013","0","1","2622","POINT (-88.3107922107709 40.1132187740745)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2623","POINT (-88.2578100010974 40.114402069297)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2013","0","1","2624","POINT (-88.3313508068796 40.127869810029)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2013","0","2","2625","POINT (-88.2156220946917 40.1164542062709)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2626","POINT (-88.2542100012711 40.1126499992084)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2013","0","1","2627","POINT (-88.2206536645797 40.1129774099554)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2628","POINT (-88.2578100418272 40.115331353362)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2629","POINT (-88.2817427400956 40.0983400274701)"
"A-Injury","Pedalcyclist","Rain","Darkness","Wet","No Controls","Champaign","2013","0","1","2630","POINT (-88.2963954343717 40.0839512507729)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2013","0","1","2631","POINT (-88.2765100005749 40.0982599997562)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Traffic Signal","Tolono","2013","0","1","2632","POINT (-88.2625391032234 39.9863850076119)"
"C-Injury","Pedalcyclist","NA","Darkness, lighted road","NA","Stop Sign/Flasher","Urbana","2013","0","1","2633","POINT (-88.2214700006356 40.1059900002646)"
"C-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2634","POINT (-88.2768100010656 40.1168735353814)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2635","POINT (-88.2385960477227 40.1014700177572)"
"Property Damage","Pedalcyclist","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2013","0","0","2636","POINT (-88.2387121923846 40.1103663599539)"
"Property Damage","Pedalcyclist","Rain","Daylight","Wet","Stop Sign/Flasher","Champaign","2013","0","0","2637","POINT (-88.2579000015259 40.1212852560447)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2013","0","1","2638","POINT (-88.2089300014907 40.1124400002636)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2013","0","1","2639","POINT (-88.2367440002443 40.1163478819405)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Other","Champaign","2013","0","1","2640","POINT (-88.238714593245 40.1123490711517)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2641","POINT (-88.2576900019534 40.1034099996803)"
"C-Injury","Pedalcyclist","Clear","Daylight","Other","Stop Sign/Flasher","Unincorporated","2013","0","1","2642","POINT (-88.2981017055725 40.097050014578)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2013","0","2","2643","POINT (-88.1904499067453 40.0838081334924)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2013","0","1","2644","POINT (-88.0789400011198 40.3855100005483)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2645","POINT (-88.2435300388443 40.1199293513807)"
"B-Injury","Pedalcyclist","Cloudy/Overcast","Dusk","Dry","No Controls","Urbana","2013","0","1","2646","POINT (-88.2279030163774 40.1104080534837)"
"C-Injury","Pedalcyclist","Clear","Darkness","Dry","No Controls","Unincorporated","2013","0","1","2647","POINT (-88.1834092042661 40.1301866615128)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2013","0","1","2648","POINT (-88.1945582724899 40.1056800005887)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2649","POINT (-88.2626899928629 40.1254193078248)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2650","POINT (-88.257910079326 40.1221714237813)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2013","0","1","2651","POINT (-88.2387099883208 40.1102334547257)"
"B-Injury","Pedalcyclist","Clear","Darkness","Dry","No Controls","Champaign","2013","0","1","2652","POINT (-88.2759700256145 40.1321109148627)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2013","0","1","2653","POINT (-88.2767100013924 40.1103300001003)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2013","0","1","2654","POINT (-88.2689100558356 40.0982209181796)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2013","0","1","2655","POINT (-88.2435300146987 40.119929766422)"
"A-Injury","Pedalcyclist","Rain","Darkness, lighted road","Wet","No Controls","Champaign","2013","0","1","2656","POINT (-88.2654438017509 40.0981925834337)"
"C-Injury","Pedalcyclist","Clear","Daylight","Wet","No Controls","Champaign","2014","0","1","2657","POINT (-88.2769880858015 40.1272433646411)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2014","0","1","2658","POINT (-88.2466698418606 40.0978169475064)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2014","0","1","2659","POINT (-88.2367996531494 40.129519999539)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2660","POINT (-88.2765114897224 40.0982600210751)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2014","0","1","2661","POINT (-88.2767093889645 40.1103299954087)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2662","POINT (-88.2768895778109 40.1196898405421)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2014","0","1","2663","POINT (-88.2620000004639 40.1464800002951)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2014","0","2","2664","POINT (-88.2699535526395 40.1306806079626)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2665","POINT (-88.2579800152708 40.1271708248376)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2666","POINT (-88.2772300013583 40.139230000616)"
"C-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Traffic Signal","Champaign","2014","0","1","2667","POINT (-88.2579800011622 40.1271699999251)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2014","0","1","2668","POINT (-88.2688998904981 40.1273281079676)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2669","POINT (-88.2304501116662 40.1103199005694)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2014","0","1","2670","POINT (-88.2981099997262 40.0985200000882)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2014","0","1","2671","POINT (-88.3099014507924 40.1132106880814)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2014","0","1","2672","POINT (-88.2452300013243 40.1191049633898)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2014","0","1","2673","POINT (-88.2239101363046 40.1105706389955)"
"Property Damage","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2014","0","0","2674","POINT (-88.2320504581696 40.1102999842875)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2014","0","1","2675","POINT (-88.2214592818402 40.1090807738953)"
"B-Injury","Pedalcyclist","Rain","Darkness","Wet","Traffic Signal","Champaign","2014","0","1","2676","POINT (-88.2335703994323 40.1102785519533)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","1","2677","POINT (-88.2411691856378 40.1163417962186)"
"C-Injury","Pedalcyclist","Clear","Unknown","Dry","No Controls","Urbana","2014","0","1","2678","POINT (-88.2228399566932 40.0992384241729)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2014","0","1","2679","POINT (-88.2333299999426 40.0980899991059)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2014","0","1","2680","POINT (-88.2239900011094 40.1128099997242)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","0","2","2681","POINT (-88.2578400540231 40.1163213110743)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2014","0","1","2682","POINT (-88.2414985360635 40.1027001278036)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2014","0","1","2683","POINT (-88.1955488308168 40.0983800461904)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2014","0","1","2684","POINT (-88.1768001308093 40.1057399575865)"
"A-Injury","Pedalcyclist","Rain","Daylight","Wet","Stop Sign/Flasher","Urbana","2014","0","1","2685","POINT (-88.190670447744 40.094759997129)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2014","0","1","2686","POINT (-88.1768000402951 40.1057390513029)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2014","0","1","2687","POINT (-88.2001002383499 40.1016102780461)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2014","0","1","2688","POINT (-88.1945467304972 40.1109502051377)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2014","0","1","2689","POINT (-88.20187906489 40.1128271695602)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2014","0","1","2690","POINT (-88.2193699862805 40.1154985873974)"
"Property Damage","Pedalcyclist","Clear","Dusk","Wet","No Controls","Urbana","2014","0","0","2691","POINT (-88.1906523960545 40.0938600356814)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Rantoul","2014","0","1","2692","POINT (-88.1364999963322 40.3160598354011)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Rantoul","2014","0","1","2693","POINT (-88.1611867615321 40.2879947964574)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Rantoul","2014","0","2","2694","POINT (-88.1506380260902 40.309564337334)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","St Joseph","2014","0","1","2695","POINT (-88.031308853649 40.1138928630157)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Savoy","2014","0","1","2696","POINT (-88.2514200002071 40.054489999205)"
"B-Injury","Pedalcyclist","Clear","Dusk","Dry","Traffic Signal","Savoy","2014","0","1","2697","POINT (-88.2480596548735 40.0760921843796)"
"B-Injury","Pedalcyclist","Clear","Darkness","Dry","Other Regualtory Sig","Rantoul","2012","0","1","2698","POINT (-88.1557400011812 40.3036099999333)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2012","0","1","2699","POINT (-88.2001571478328 40.1419630142613)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2012","0","1","2700","POINT (-88.2951600011631 40.0839462307578)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Urbana","2012","0","1","2701","POINT (-88.2192600012576 40.1070799991612)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Rantoul","2012","0","1","2702","POINT (-88.1472089867743 40.3106600008055)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Lane Use Marking","Champaign","2012","0","1","2703","POINT (-88.2401100009623 40.1145999996138)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Wet","No Controls","Urbana","2012","0","1","2704","POINT (-88.2194699924307 40.1231913507263)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2012","0","1","2705","POINT (-88.2289290633882 40.11639999916)"
"C-Injury","Pedalcyclist","Rain","Darkness, lighted road","Wet","Lane Use Marking","Champaign","2012","0","1","2706","POINT (-88.2486664568641 40.1418331972631)"
"C-Injury","Pedalcyclist","Snow","Daylight","Wet","No Controls","Urbana","2012","0","1","2707","POINT (-88.2238359304847 40.1045871874872)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2012","0","1","2708","POINT (-88.2241292934284 40.1231300318488)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2012","0","1","2709","POINT (-88.250090001164 40.1182700002636)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Tolono","2012","0","1","2710","POINT (-88.2616327687697 39.9902088719418)"
"B-Injury","Pedalcyclist","Clear","Daylight","Wet","No Controls","Unincorporated","2012","0","1","2712","POINT (-88.1771875757766 40.1343999996072)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","No Controls","Champaign","2012","0","1","2713","POINT (-88.230372440783 40.1231100006877)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2012","0","1","2714","POINT (-88.217379542788 40.116450000784)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2012","0","1","2715","POINT (-88.2732299660131 40.1416030836141)"
"A-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2012","0","1","2716","POINT (-88.2193802116011 40.1128301566526)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Urbana","2012","0","1","2717","POINT (-88.212820016904 40.1164907322092)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2012","0","1","2718","POINT (-88.203600000262 40.118899999048)"
"B-Injury","Pedalcyclist","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2012","0","1","2719","POINT (-88.2813208961514 40.1092600112363)"
"B-Injury","Pedalcyclist","Clear","Darkness, lighted road","Dry","Traffic Signal","Champaign","2012","0","1","2720","POINT (-88.2445877629711 40.0980941980025)"
"Fatal","Pedalcyclist","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2012","1","0","2721","POINT (-88.2828291545506 40.1128159897989)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2012","0","1","2722","POINT (-88.243560001211 40.1272000001441)"
"C-Injury","Pedalcyclist","Clear","Daylight","Dry","Traffic Signal","Champaign","2012","0","1","2723","POINT (-88.2335703878845 40.1102800935974)"
"B-Injury","Pedalcyclist","Rain","Daylight","Wet","Traffic Signal","Champaign","2012","0","1","2724","POINT (-88.2302900003686 40.1041699994591)"
"Property Damage","Pedalcyclist","Clear","Daylight","Dry","No Controls","Mahomet","2012","0","0","2725","POINT (-88.4078276903185 40.1880096704169)"
