crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,Geometry,point,x,y,norm_x,norm_y
A-Injury,angle,Rain,Daylight,Wet,Traffic Signal,champaign,2016,0,1,3954,POINT (-88.2468498673379 40.1163402044024),POINT,-88.2468498673379,40.1163402044024,-0.0024630418042639766,-0.007090866229207852
A-Injury,turning,Clear,Daylight,Dry,No Controls,champaign,2016,0,1,3955,POINT (-88.271466742574 40.1127916046133),POINT,-88.271466742574,40.11279160461329,-0.0021831013874058633,-0.007179848460054732
A-Injury,angle,Clear,Daylight,Dry,Traffic Signal,champaign,2016,0,2,3956,POINT (-88.2579100024449 40.1426299975616),POINT,-88.2579100024449,40.142629997561606,-0.0023372671556676386,-0.006431641582069257
A-Injury,overturned,Clear,Darkness,Dry,No Controls,unincorporated,2001,0,1,246,POINT (-88.3036982292022 40.0560952818615),POINT,-88.3036982292022,40.0560952818615,-0.001816568441363278,-0.00860152618622635
A-Injury,rear end,Clear,"Darkness, lighted road",Dry,Traffic signal,champaign,2001,0,1,247,POINT (-88.2579431723527 40.1349977315601),POINT,-88.2579431723527,40.1349977315601,-0.0023368899510985727,-0.006623022998851146
A-Injury,overturned,Snow,Dawn,Ice,No Controls,champaign,2001,0,3,248,POINT (-88.3022057853353 40.130034704209),POINT,-88.3022057853353,40.130034704208995,-0.001833540350032779,-0.006747472435727906
A-Injury,overturned,Snow,"Darkness, lighted road",Ice,Lane Use Marking,urbana,2001,0,4,249,POINT (-88.2008168239823 40.1347411290622),POINT,-88.2008168239823,40.134741129062206,-0.0029865245461887266,-0.006629457385386757
A-Injury,fixed object,Rain,Darkness,Wet,No Controls,unincorporated,2001,0,1,250,POINT (-88.2386036926573 40.1847687599949),POINT,-88.2386036926573,40.184768759994896,-0.002556816402194436,-0.005374999157090236
A-Injury,fixed object,Rain,Daylight,Wet,No Controls,unincorporated,2001,0,1,251,POINT (-88.3034049570285 39.967600699426),POINT,-88.3034049570285,39.967600699426,-0.0018199035004952333,-0.010820555051399762
A-Injury,overturned,Clear,Darkness,Dry,No Controls,unincorporated,2001,0,2,252,POINT (-88.2321058609005 40.1943045787792),POINT,-88.2321058609005,40.1943045787792,-0.0026307090353262595,-0.005135885568969023
A-Injury,fixed object,Clear,Daylight,Dry,Lane Use Marking,unincorporated,2001,0,1,254,POINT (-88.1835857714899 40.2769346753097),POINT,-88.1835857714899,40.276934675309704,-0.003182474193386402,-0.0030639104910947794
A-Injury,overturned,Snow,Darkness,Ice,Lane Use Marking,mahomet,2001,0,5,255,POINT (-88.3940969195665 40.1967191123931),POINT,-88.3940969195665,40.196719112393104,-0.0007885644066801255,-0.005075340396171764
A-Injury,fixed object,Clear,Darkness,Dry,Lane Use Marking,champaign,2001,0,1,258,POINT (-88.295351096559 40.1360713386978),POINT,-88.295351096559,40.136071338697796,-0.0019114911222191588,-0.006596101969757134
A-Injury,fixed object,Clear,Darkness,Dry,Lane Use Marking,champaign,2001,0,1,263,POINT (-88.2900876827635 40.119508035048),POINT,-88.2900876827635,40.119508035048,-0.0019713460891017543,-0.00701143190171448
A-Injury,rear end,Clear,"Darkness, lighted road",Dry,Traffic signal,urbana,2001,0,5,264,POINT (-88.2195613721625 40.1341663829274),POINT,-88.2195613721625,40.1341663829274,-0.0027733635913130134,-0.00664386932144192
A-Injury,pedalcyclist,Clear,Daylight,Wet,No Controls,champaign,2001,0,1,265,POINT (-88.238972056694 40.1384995146142),POINT,-88.238972056694,40.1384995146142,-0.0025526274065970204,-0.006535214712029771
A-Injury,fixed object,Clear,Daylight,Dry,No Controls,unincorporated,2001,0,1,266,POINT (-88.165164809246 40.3413326961418),POINT,-88.165164809246,40.3413326961418,-0.0033919553643322504,-0.0014491103174162669
A-Injury,angle,Clear,Daylight,Dry,Stop sign / flasher,champaign,2003,0,1,99,POINT (-88.251765150853 40.1126397725265),POINT,-88.251765150853,40.1126397725265,-0.0024071457369119476,-0.007183655696316894
A-Injury,turning,Clear,Dusk,Dry,Traffic Signal,champaign,2016,0,2,3958,POINT (-88.2580441754368 40.1380326484542),POINT,-88.2580441754368,40.13803264845421,-0.002335741355056428,-0.006546921524545214
A-Injury,rear end,Clear,Daylight,Ice,No Controls,savoy,2016,0,2,3959,POINT (-88.2513766048057 40.0547605930801),POINT,-88.2513766048057,40.054760593080104,-0.002411564240130074,-0.008634993917814374
A-Injury,angle,Rain,Daylight,Wet,Stop sign / flasher,unincorporated,2001,0,1,195,POINT (-88.288965715176 40.3112248396648),POINT,-88.288965715176,40.311224839664796,-0.0019841049819803967,-0.002204074076239135
A-Injury,angle,Fog / smoke / haze,Daylight,Snow or slush,Traffic signal,champaign,2001,0,3,196,POINT (-88.2438403529465 40.1026980177415),POINT,-88.2438403529465,40.102698017741496,-0.0024972656732638746,-0.007432948254474093
A-Injury,rear end,Clear,Darkness,Dry,Stop sign / flasher,unincorporated,2002,0,2,150,POINT (-88.2954350365736 40.1130326373836),POINT,-88.2954350365736,40.1130326373836,-0.0019105365655400428,-0.0071738044892258
A-Injury,turning,Clear,"Darkness, lighted road",Dry,No Controls,champaign,2001,0,4,202,POINT (-88.2769999645002 40.139252661171),POINT,-88.2769999645002,40.139252661171,-0.0021201781919258393,-0.006516329330538136
A-Injury,rear end,Clear,Daylight,Dry,No Controls,unincorporated,2002,0,2,128,POINT (-88.0391874199548 40.3127407314262),POINT,-88.0391874199548,40.3127407314262,-0.00482455647778098,-0.0021660626242104974
A-Injury,fixed object,Clear,Daylight,Dry,No Controls,unincorporated,2002,0,1,130,POINT (-88.4428841348896 40.199148872209),POINT,-88.4428841348896,40.199148872209,-0.00023376152191495342,-0.005014413421677672
A-Injury,pedestrian,Clear,Daylight,Dry,Lane Use Marking,champaign,2002,0,1,131,POINT (-88.2863484309568 40.1439396604084),POINT,-88.2863484309568,40.1439396604084,-0.002013868452296235,-0.006398801383486502
A-Injury,overturned,Clear,Daylight,Dry,No Controls,unincorporated,2002,0,1,132,POINT (-87.9693928140473 40.119828845302),POINT,-87.9693928140473,40.119828845302,-0.005618253114124868,-0.007003387485951574
A-Injury,pedalcyclist,Clear,Daylight,Dry,No Controls,champaign,2001,0,1,203,POINT (-88.2646037882196 40.1350689308504),POINT,-88.2646037882196,40.135068930850395,-0.0022611461548437723,-0.0066212376547543726
A-Injury,sideswipe - same dir,Snow,Daylight,Snow or slush,Lane Use Marking,unincorporated,2000,0,1,370,POINT (-88.2308673238392 40.1955301424497),POINT,-88.2308673238392,40.195530142449705,-0.0026447935435308313,-0.005105154183090863
A-Injury,rear end,Rain,Dusk,Wet,No Controls,unincorporated,2000,0,1,371,POINT (-88.134262984341 40.3685056482313),POINT,-88.134262984341,40.3685056482313,-0.0037433675424664798,-0.0007677401885439856
A-Injury,rear end,Rain,Daylight,Wet,Lane Use Marking,champaign,2000,0,1,372,POINT (-88.257952815231 40.1338573917527),POINT,-88.257952815231,40.1338573917527,-0.0023367802933396487,-0.006651617370157095
A-Injury,overturned,Snow,Daylight,Ice,Lane Use Marking,mahomet,2000,0,1,373,POINT (-88.3922931208003 40.1957999918025),POINT,-88.3922931208003,40.1957999918025,-0.0008090770092623865,-0.005098387627595311
A-Injury,rear end,Clear,Daylight,Dry,No Controls,unincorporated,2000,0,1,374,POINT (-87.9585017847475 40.0760788054915),POINT,-87.9585017847475,40.0760788054915,-0.005742104709949179,-0.008100433186605091
A-Injury,overturned,Clear,Darkness,Dry,Lane Use Marking,unincorporated,2000,0,1,375,POINT (-88.2221947287092 40.2041089355928),POINT,-88.2221947287092,40.2041089355928,-0.002743417348244081,-0.004890038307192442
A-Injury,rear end,Rain,Daylight,Wet,No Controls,champaign,2000,0,1,376,POINT (-88.2446673332566 40.0979411632456),POINT,-88.2446673332566,40.0979411632456,-0.0024878613434892436,-0.007552227843611813
A-Injury,other object,Other,Darkness,Snow or slush,No Controls,savoy,2000,0,1,377,POINT (-88.2485971691373 40.0726726995047),POINT,-88.2485971691373,40.07267269950471,-0.002443171679018229,-0.008185842341544465
A-Injury,overturned,Clear,Darkness,Dry,No Controls,unincorporated,2000,0,1,378,POINT (-88.3840368757099 40.3650290371273),POINT,-88.3840368757099,40.36502903712729,-0.0009029661267935007,-0.0008549172809766636
A-Injury,turning,Clear,Dawn,Dry,Lane Use Marking,unincorporated,2000,0,2,379,POINT (-88.0974322505352 40.3123914850143),POINT,-88.0974322505352,40.312391485014295,-0.004162202625144381,-0.00217482008537651
A-Injury,turning,Clear,Daylight,Dry,Traffic signal,champaign,2000,0,3,380,POINT (-88.2771624954598 40.1361447388975),POINT,-88.2771624954598,40.1361447388975,-0.002118329907602739,-0.006594261437180245
A-Injury,angle,Clear,Daylight,Dry,No Controls,champaign,2000,0,1,381,POINT (-88.243103873294 40.1125977605627),POINT,-88.243103873294,40.1125977605627,-0.0025056408394436448,-0.0071847091592271385
A-Injury,fixed object,Rain,Dawn,Wet,No Controls,unincorporated,2000,0,3,382,POINT (-88.3033890778241 39.9639785198385),POINT,-88.3033890778241,39.9639785198385,-0.0018200840770736895,-0.010911382318315989
A-Injury,overturned,Clear,Daylight,Wet,No Controls,champaign,1999,0,1,383,POINT (-88.3048962541946 40.1253162406667),POINT,-88.3048962541946,40.125316240666706,-0.0018029446319819632,-0.006865789359899393
A-Injury,fixed object,Clear,Daylight,Dry,Other reg. sign,unincorporated,1999,0,3,384,POINT (-88.2209429654598 40.2053266993996),POINT,-88.2209429654598,40.2053266993996,-0.002757652263215361,-0.004859502505294949
A-Injury,angle,Clear,Darkness,Dry,Stop sign / flasher,ludlow,1999,0,2,385,POINT (-88.1201647806137 40.3862289238),POINT,-88.1201647806137,40.386228923800005,-0.0039036907756355103,-0.00032332360404803575
A-Injury,rear end,Clear,Darkness,Dry,Lane Use Marking,unincorporated,1999,0,1,386,POINT (-88.1827971565014 40.2293913203202),POINT,-88.1827971565014,40.229391320320204,-0.0031914422369137027,-0.004256074736242553
A-Injury,angle,Clear,Daylight,Dry,Stop sign / flasher,champaign,1999,0,2,387,POINT (-88.2337786306845 40.112693928483),POINT,-88.2337786306845,40.112693928483,-0.0026116864800202915,-0.007182297719055658
A-Injury,angle,Clear,Darkness,Dry,No Controls,champaign,1999,0,2,388,POINT (-88.2771702035314 40.1366410117047),POINT,-88.2771702035314,40.136641011704704,-0.0021182422522543613,-0.00658181724394401
A-Injury,overturned,Clear,Darkness,Dry,No Controls,unincorporated,1999,0,1,389,POINT (-88.3844618077039 40.2960785085492),POINT,-88.3844618077039,40.2960785085492,-0.0008981338465630891,-0.002583872986206037
A-Injury,fixed object,Clear,Daylight,Dry,No Controls,unincorporated,1999,0,1,390,POINT (-88.1850106759634 40.1293880989388),POINT,-88.1850106759634,40.1293880989388,-0.003166270335322881,-0.006763686261698424
A-Injury,turning,Clear,Daylight,Dry,No Controls,urbana,1999,0,1,391,POINT (-88.2024084682726 40.1163310736991),POINT,-88.2024084682726,40.1163310736991,-0.0029684245411375956,-0.007091095184400573
A-Injury,angle,Clear,Daylight,Ice,Traffic signal,champaign,1999,0,2,392,POINT (-88.2450277978578 40.0958303055746),POINT,-88.2450277978578,40.0958303055746,-0.002483762179409526,-0.007605158248765527
A-Injury,angle,Clear,"Darkness, lighted road",Ice,No Controls,champaign,1999,0,1,396,POINT (-88.2862373721509 40.1129358103014),POINT,-88.2862373721509,40.1129358103014,-0.0020151314009087206,-0.007176232458084565
A-Injury,sideswipe - opp dir,Clear,"Darkness, lighted road",Unknown,Traffic signal,urbana,1999,0,2,397,POINT (-88.207353190925 40.1164062535274),POINT,-88.207353190925,40.1164062535274,-0.0029121936951310564,-0.007089210027089399
A-Injury,other non collision,Clear,Daylight,Dry,No Controls,unincorporated,1999,0,2,398,POINT (-88.303608117976 40.0469696809419),POINT,-88.303608117976,40.0469696809419,-0.001817593176386877,-0.00883035343525497
A-Injury,rear end,Clear,Daylight,Dry,Police / flagman,unincorporated,1999,0,2,399,POINT (-88.407607361042 40.1508863549962),POINT,-88.407607361042,40.1508863549962,-0.0006349251416509759,-0.0062246108807049935
A-Injury,angle,Clear,Daylight,Dry,Traffic signal,champaign,1999,0,4,400,POINT (-88.2436315812678 40.1325649346717),POINT,-88.2436315812678,40.132564934671706,-0.002499639801994795,-0.006684026128871917
A-Injury,rear end,Clear,Dawn,Dry,No Controls,unincorporated,1999,0,1,401,POINT (-88.1267544035595 40.1205507317609),POINT,-88.1267544035595,40.1205507317609,-0.0038287543031266702,-0.006985285961026705
A-Injury,pedestrian,Clear,Daylight,Dry,No Controls,champaign,1999,0,1,402,POINT (-88.2710587183945 40.1376036691567),POINT,-88.2710587183945,40.137603669156704,-0.0021877413938162517,-0.006557678312334056
A-Injury,turning,Clear,Daylight,Dry,Traffic signal,champaign,1999,0,1,403,POINT (-88.2467409787724 40.0848197129335),POINT,-88.2467409787724,40.0848197129335,-0.002464280073139559,-0.00788125224481408
A-Injury,turning,Clear,"Darkness, lighted road",Ice,Traffic signal,champaign,1999,0,5,404,POINT (-88.2467409787724 40.0848197129335),POINT,-88.2467409787724,40.0848197129335,-0.002464280073139559,-0.00788125224481408
A-Injury,overturned,Clear,Daylight,Dry,No Controls,rantoul,1999,0,1,405,POINT (-88.1700715159224 40.283970447263),POINT,-88.1700715159224,40.283970447262995,-0.003336156831853216,-0.0028874863459838764
A-Injury,turning,Clear,Daylight,Dry,Other reg. sign,champaign,1999,0,2,406,POINT (-88.2899428343092 40.1513455996266),POINT,-88.2899428343092,40.1513455996266,-0.00197299328990561,-0.006213095180387704
A-Injury,angle,Clear,Daylight,Dry,Stop sign / flasher,champaign,1999,0,2,407,POINT (-88.2289684976234 40.1157374807377),POINT,-88.2289684976234,40.11573748073771,-0.002666386787892513,-0.007105979710427431
A-Injury,pedalcyclist,Clear,Daylight,Dry,No Controls,champaign,1999,0,1,408,POINT (-88.2322720679222 40.1126969557868),POINT,-88.2322720679222,40.112696955786795,-0.002628818947226489,-0.007182221808482081
A-Injury,angle,Clear,"Darkness, Lighted Road",Dry,Traffic Signal,champaign,2016,0,1,3960,POINT (-88.2451400023506 40.1102099974339),POINT,-88.2451400023506,40.1102099974339,-0.002482486202170952,-0.007244583053879044
A-Injury,rear end,Clear,Daylight,Dry,No Controls,champaign,2001,0,1,197,POINT (-88.2446673332566 40.0979411632456),POINT,-88.2446673332566,40.0979411632456,-0.0024878613434892436,-0.007552227843611813
A-Injury,turning,Clear,Daylight,Dry,Stop sign / flasher,st. joseph,2001,0,2,198,POINT (-88.0291233030222 40.1132777388328),POINT,-88.0291233030222,40.1132777388328,-0.00493900451646981,-0.007167658495022456
A-Injury,rear end,Clear,Daylight,Dry,No Controls,champaign,2001,0,1,199,POINT (-88.230610930352 40.1127177155595),POINT,-88.230610930352,40.112717715559505,-0.002647709222267457,-0.007181701250798101
A-Injury,rear end,Clear,Daylight,Dry,No Controls,urbana,2001,0,1,200,POINT (-88.1928832350598 40.1383534926763),POINT,-88.1928832350598,40.138353492676295,-0.0030767444530145735,-0.006538876257022126
A-Injury,turning,Clear,"Darkness, lighted road",Dry,No Controls,champaign,2001,0,3,201,POINT (-88.2578053854781 40.1143617760507),POINT,-88.2578053854781,40.1143617760507,-0.0023384568483893163,-0.007140475928460299
A-Injury,angle,Clear,Daylight,Dry,Traffic signal,champaign,1999,0,3,409,POINT (-88.228942082915 40.1129939101816),POINT,-88.228942082915,40.1129939101816,-0.0026666871730717874,-0.007174775585723826
A-Injury,rear end,Clear,Daylight,Wet,Lane Use Marking,unincorporated,1999,0,2,410,POINT (-88.1820523316897 40.1782458038765),POINT,-88.1820523316897,40.1782458038765,-0.003199912303332408,-0.005538564287458853
A-Injury,fixed object,Clear,Darkness,Dry,No Controls,unincorporated,1999,0,1,411,POINT (-87.9581464142444 40.0500218352069),POINT,-87.9581464142444,40.0500218352069,-0.005746145944501615,-0.008753819728573751
A-Injury,overturned,Clear,Darkness,Dry,No Controls,unincorporated,2002,0,1,133,POINT (-88.0120778739488 40.1118573558376),POINT,-88.0120778739488,40.1118573558376,-0.005132843274418093,-0.007203275035371086
A-Injury,rear end,Clear,Daylight,Dry,Traffic signal,savoy,2002,0,2,188,POINT (-88.2528367606327 40.0456888509404),POINT,-88.2528367606327,40.0456888509404,-0.00239495950752413,-0.008862470641376328
A-Injury,angle,Clear,Daylight,Dry,Stop sign / flasher,unincorporated,2002,0,1,157,POINT (-88.1822013661942 40.1892946028907),POINT,-88.1822013661942,40.189294602890705,-0.003198217499222764,-0.005261512254856865
A-Injury,sideswipe - opp dir,Clear,Daylight,Dry,Lane Use Marking,unincorporated,2002,0,2,158,POINT (-88.3070054222527 40.1564235818908),POINT,-88.3070054222527,40.1564235818908,-0.001778959403160485,-0.006085763213718392
A-Injury,rear end,Clear,Daylight,Dry,No Controls,champaign,2002,0,1,159,POINT (-88.2579431723527 40.1349977315601),POINT,-88.2579431723527,40.1349977315601,-0.0023368899510985727,-0.006623022998851146
A-Injury,pedalcyclist,Rain,"Darkness, lighted road",Wet,Traffic signal,champaign,2002,0,1,161,POINT (-88.2767915047882 40.1128753059218),POINT,-88.2767915047882,40.1128753059218,-0.0021225487730055005,-0.007177749624007227
A-Injury,rear end,Clear,Daylight,Dry,No Controls,champaign,2002,0,1,162,POINT (-88.2389683114994 40.1380046789629),POINT,-88.2389683114994,40.1380046789629,-0.002552669996540898,-0.006547622868139866
A-Injury,overturned,Snow,Darkness,Snow or slush,No Controls,unincorporated,2002,0,1,163,POINT (-88.1825512050511 40.2163619069088),POINT,-88.1825512050511,40.2163619069088,-0.00319423916994693,-0.004582791283860056
A-Injury,fixed object,Clear,Daylight,Dry,Lane Use Marking,champaign,2002,0,1,164,POINT (-88.3049669289858 40.1122849616436),POINT,-88.3049669289858,40.1122849616436,-0.0018021409259745566,-0.007192552688303934
A-Injury,turning,Clear,"Darkness, lighted road",Dry,Stop sign / flasher,champaign,2002,0,1,165,POINT (-88.2728720505444 40.1573478442558),POINT,-88.2728720505444,40.157347844255796,-0.00216712037863562,-0.006062587050720888
A-Injury,overturned,Fog/Smoke/Haze,Darkness,Wet,Lane Use Marking,unincorporated,2004,0,2,513,POINT (-88.1065987906105 40.1133682290579),POINT,-88.1065987906105,40.1133682290579,-0.004057961732455368,-0.007165389424803894
A-Injury,pedalcyclist,Clear,Darkness,Dry,No Controls,st. joseph,2004,0,2,514,POINT (-88.0362529924743 40.1131405550763),POINT,-88.0362529924743,40.1131405550763,-0.004857926466630149,-0.00717109841989841
A-Injury,angle,Fog/Smoke/Haze,Dawn,Wet,Traffic Signal,champaign,2004,0,3,515,POINT (-88.3145129624667 40.1132597945671),POINT,-88.3145129624667,40.11325979456711,-0.0016935844757203957,-0.007168108453002266
A-Injury,fixed object,Clear,Daylight,Dry,No Controls,unincorporated,2003,0,1,85,POINT (-87.9448570042125 40.1200698408011),POINT,-87.9448570042125,40.1200698408011,-0.005897271664092238,-0.006997344449709606
A-Injury,angle,Clear,Daylight,Dry,Traffic Signal,champaign,2004,0,3,517,POINT (-88.278360424861 40.1128631616583),POINT,-88.278360424861,40.1128631616583,-0.0021047071852741605,-0.007178054145148662
A-Injury,angle,Clear,Daylight,Dry,Stop Sign/Flasher,unincorporated,2004,0,3,518,POINT (-88.3938981027963 40.2380032599097),POINT,-88.3938981027963,40.2380032599097,-0.0007908253292786533,-0.0040401277030085395
A-Injury,overturned,Clear,Daylight,Dry,No Controls,unincorporated,2004,0,2,519,POINT (-88.3940770332246 40.2598363375365),POINT,-88.3940770332246,40.259836337536505,-0.0007887905519883635,-0.003492656568210472
A-Injury,rear end,Clear,Daylight,Dry,No Controls,unincorporated,2004,0,6,520,POINT (-88.1605868373514 39.9090642836262),POINT,-88.1605868373514,39.9090642836262,-0.0034440155607724883,-0.012288373676548045
A-Injury,fixed object,Clear,Darkness,Dry,No Controls,unincorporated,2004,0,1,521,POINT (-88.1611592034223 39.9716945193213),POINT,-88.1611592034223,39.9716945193213,-0.003437506676320426,-0.010717901258744108
A-Injury,angle,Clear,Daylight,Dry,No Controls,champaign,2004,0,2,523,POINT (-88.2768073771123 40.1155299269292),POINT,-88.2768073771123,40.1155299269292,-0.002122368274669215,-0.007111184185995093
A-Injury,turning,Clear,Daylight,Dry,Traffic Signal,champaign,2004,0,2,524,POINT (-88.2769570957819 40.1274234623449),POINT,-88.2769570957819,40.1274234623449,-0.0021206656903089136,-0.006812950128383261
A-Injury,angle,Clear,Daylight,Dry,Stop Sign/Flasher,unincorporated,2004,0,1,525,POINT (-88.1918543530927 40.1892895477059),POINT,-88.1918543530927,40.1892895477059,-0.0030884447863836857,-0.005261639015170301
A-Injury,train,Clear,Darkness,Dry,Other RR Crossing,unincorporated,2004,0,2,526,POINT (-88.3148350994475 40.1493702846717),POINT,-88.3148350994475,40.149370284671704,-0.0016899211691540953,-0.006262626810258054
A-Injury,angle,Clear,Dusk,Dry,Stop Sign/Flasher,unincorporated,2004,0,1,527,POINT (-88.0476447773063 40.0909455365978),POINT,-88.0476447773063,40.09094553659779,-0.004728380333579491,-0.007727645332843708
A-Injury,turning,Clear,"Darkness, Lighted Road",Dry,No Controls,champaign,2004,0,1,528,POINT (-88.2436445416085 40.1312173903362),POINT,-88.2436445416085,40.131217390336204,-0.002499492418415738,-0.006717816217431963
A-Injury,sideswipe same direction,Clear,"Darkness, Lighted Road",Wet,Lane Use Marking,champaign,2004,0,1,529,POINT (-88.2579521407561 40.1341661647697),POINT,-88.2579521407561,40.1341661647697,-0.0023367879633944422,-0.0066438747918131915
A-Injury,turning,Clear,Daylight,Unknown,Traffic Signal,champaign,2004,0,2,530,POINT (-88.2579447238729 40.1380089461832),POINT,-88.2579447238729,40.138008946183206,-0.002336872307380301,-0.006547515866278616
A-Injury,rear end,Clear,Daylight,Dry,No Controls,unincorporated,2004,0,2,531,POINT (-88.239860933143 40.1750021591805),POINT,-88.239860933143,40.1750021591805,-0.002542519200690102,-0.005619899675577495
A-Injury,turning,Rain,Daylight,Wet,Stop Sign/Flasher,champaign,2004,0,2,532,POINT (-88.26982793414 40.1568231268593),POINT,-88.26982793414,40.1568231268593,-0.002201737737948611,-0.006075744500779809
A-Injury,fixed object,Clear,Darkness,Dry,Lane Use Marking,pesotum,2004,0,3,533,POINT (-88.2804749563249 39.9062420123962),POINT,-88.2804749563249,39.906242012396206,-0.002080660964387751,-0.012359142995441346
A-Injury,fixed object,Clear,Darkness,Dry,Lane Use Marking,unincorporated,2004,0,1,534,POINT (-88.3031956418406 39.9457224093689),POINT,-88.3031956418406,39.9457224093689,-0.0018222838099534449,-0.011369159901789692
A-Injury,overturned,Rain,Darkness,Wet,Lane Use Marking,unincorporated,2004,0,1,535,POINT (-88.3036515328115 39.9903472114818),POINT,-88.3036515328115,39.9903472114818,-0.0018170994676187306,-0.01025017926742885
