crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,x,y,norm_x,norm_y
A-Injury,turning,clear,dusk,dry,traffic signal,champaign,2016,0,2,3958,-88.2580441754368,40.1380326484542,0.002335741355056428,0.006390305890314942
A-Injury,rear end,clear,daylight,ice,no controls,savoy,2016,0,2,3959,-88.2513766048057,40.0547605930801,0.002411564240130074,0.004329071657128275
A-Injury,angle,rain,daylight,wet,stop sign / flasher,unincorporated,2001,0,1,195,-88.288965715176,40.3112248396648,0.0019841049819803967,0.01067733437592296
A-Injury,angle,fog / smoke / haze,daylight,snow or slush,traffic signal,champaign,2001,0,3,196,-88.2438403529465,40.1026980177415,0.0024972656732638746,0.005515667332219848
A-Injury,rear end,clear,darkness,dry,stop sign / flasher,unincorporated,2002,0,2,150,-88.2954350365736,40.1130326373836,0.0019105365655400428,0.005771480302099695
A-Injury,turning,clear,"darkness, lighted road",dry,no controls,champaign,2001,0,4,202,-88.2769999645002,40.139252661171,0.0021201781919258393,0.006420504880426257
A-Injury,rear end,clear,daylight,dry,no controls,unincorporated,2002,0,2,128,-88.0391874199548,40.3127407314262,0.00482455647778098,0.010714857263743686
A-Injury,fixed object,clear,daylight,dry,no controls,unincorporated,2002,0,1,130,-88.4428841348896,40.199148872209,0.00023376152191495342,0.00790311654498831
A-Injury,pedestrian,clear,daylight,dry,lane use marking,champaign,2002,0,1,131,-88.2863484309568,40.1439396604084,0.002013868452296235,0.006536522231452914
A-Injury,overturned,clear,daylight,dry,no controls,unincorporated,2002,0,1,132,-87.9693928140473,40.119828845302,0.005618253114124868,0.005939706922114513
A-Injury,pedalcyclist,clear,daylight,dry,no controls,champaign,2001,0,1,203,-88.2646037882196,40.1350689308504,0.0022611461548437723,0.006316944951221967
A-Injury,sideswipe - same dir,snow,daylight,snow or slush,lane use marking,unincorporated,2000,0,1,370,-88.2308673238392,40.1955301424497,0.0026447935435308313,0.00781354208177833
A-Injury,rear end,rain,dusk,wet,no controls,unincorporated,2000,0,1,371,-88.134262984341,40.3685056482313,0.0037433675424664798,0.01209520695023908
A-Injury,rear end,rain,daylight,wet,lane use marking,champaign,2000,0,1,372,-88.257952815231,40.1338573917527,0.0023367802933396487,0.006286955708710654
A-Injury,overturned,snow,daylight,ice,lane use marking,mahomet,2000,0,1,373,-88.3922931208003,40.1957999918025,0.0008090770092623865,0.007820221666199596
A-Injury,rear end,clear,daylight,dry,no controls,unincorporated,2000,0,1,374,-87.9585017847475,40.0760788054915,0.005742104709949179,0.004856761636861752
A-Injury,overturned,clear,darkness,dry,lane use marking,unincorporated,2000,0,1,375,-88.2221947287092,40.2041089355928,0.002743417348244081,0.008025893056262466
A-Injury,rear end,rain,daylight,wet,no controls,champaign,2000,0,1,376,-88.2446673332566,40.0979411632456,0.0024878613434892436,0.005397920853101591
A-Injury,other object,other,darkness,snow or slush,no controls,savoy,2000,0,1,377,-88.2485971691373,40.0726726995047,0.002443171679018229,0.004772450252564715
A-Injury,overturned,clear,darkness,dry,no controls,unincorporated,2000,0,1,378,-88.3840368757099,40.3650290371273,0.0009029661267935007,0.012009150351889914
A-Injury,turning,clear,dawn,dry,lane use marking,unincorporated,2000,0,2,379,-88.0974322505352,40.3123914850143,0.004162202625144381,0.010706212362920797
A-Injury,turning,clear,daylight,dry,traffic signal,champaign,2000,0,3,380,-88.2771624954598,40.1361447388975,0.002118329907602739,0.006343574441331868
A-Injury,angle,clear,daylight,dry,no controls,champaign,2000,0,1,381,-88.243103873294,40.1125977605627,0.0025056408394436448,0.005760715790686768
A-Injury,fixed object,rain,dawn,wet,no controls,unincorporated,2000,0,3,382,-88.3033890778241,39.9639785198385,0.0018200840770736895,0.0020819418572862397
A-Injury,overturned,clear,daylight,wet,no controls,champaign,1999,0,1,383,-88.3048962541946,40.1253162406667,0.0018029446319819632,0.006075536488539014
A-Injury,fixed object,clear,daylight,dry,other regulatory sign,unincorporated,1999,0,3,384,-88.2209429654598,40.2053266993996,0.002757652263215361,0.008056036379076276
A-Injury,angle,clear,darkness,dry,stop sign / flasher,ludlow,1999,0,2,385,-88.1201647806137,40.3862289238,0.0039036907756355103,0.012533911413126207
A-Injury,rear end,clear,darkness,dry,lane use marking,unincorporated,1999,0,1,386,-88.1827971565014,40.2293913203202,0.0031914422369137027,0.008651708243153049
A-Injury,angle,clear,daylight,dry,stop sign / flasher,champaign,1999,0,2,387,-88.2337786306845,40.112693928483,0.0026116864800202915,0.005763096236426467
A-Injury,angle,clear,darkness,dry,no controls,champaign,1999,0,2,388,-88.2771702035314,40.1366410117047,0.0021182422522543613,0.006355858688365272
A-Injury,overturned,clear,darkness,dry,no controls,unincorporated,1999,0,1,389,-88.3844618077039,40.2960785085492,0.0008981338465630891,0.010302417051468771
A-Injury,fixed object,clear,daylight,dry,no controls,unincorporated,1999,0,1,390,-88.1850106759634,40.1293880989388,0.003166270335322881,0.006176327247520854
A-Injury,turning,clear,daylight,dry,no controls,urbana,1999,0,1,391,-88.2024084682726,40.1163310736991,0.0029684245411375956,0.00585312653767006
A-Injury,angle,clear,daylight,ice,traffic signal,champaign,1999,0,2,392,-88.2450277978578,40.0958303055746,0.002483762179409526,0.005345670766643399
A-Injury,angle,clear,"darkness, lighted road",ice,no controls,champaign,1999,0,1,396,-88.2862373721509,40.1129358103014,0.0020151314009087206,0.005769083540117242
A-Injury,sideswipe - opp dir,clear,"darkness, lighted road",unknown,traffic signal,urbana,1999,0,2,397,-88.207353190925,40.1164062535274,0.0029121936951310564,0.005854987464904796
A-Injury,other non collision,clear,daylight,dry,no controls,unincorporated,1999,0,2,398,-88.303608117976,40.0469696809419,0.001817593176386877,0.004136223111060116
A-Injury,rear end,clear,daylight,dry,police / flagman,unincorporated,1999,0,2,399,-88.407607361042,40.1508863549962,0.0006349251416509759,0.0067084738498865565
A-Injury,angle,clear,daylight,dry,traffic signal,champaign,1999,0,4,400,-88.2436315812678,40.1325649346717,0.002499639801994795,0.006254963502341862
A-Injury,rear end,clear,dawn,dry,no controls,unincorporated,1999,0,1,401,-88.1267544035595,40.1205507317609,0.0038287543031266702,0.005957575786703831
A-Injury,pedestrian,clear,daylight,dry,no controls,champaign,1999,0,1,402,-88.2710587183945,40.1376036691567,0.0021877413938162517,0.006379687360372706
A-Injury,turning,clear,daylight,dry,traffic signal,champaign,1999,0,1,403,-88.2467409787724,40.0848197129335,0.002464280073139559,0.00507312542862397
A-Injury,turning,clear,"darkness, lighted road",ice,traffic signal,champaign,1999,0,5,404,-88.2467409787724,40.0848197129335,0.002464280073139559,0.00507312542862397
A-Injury,overturned,clear,daylight,dry,no controls,rantoul,1999,0,1,405,-88.1700715159224,40.283970447263,0.003336156831853216,0.010002706058284894
A-Injury,turning,clear,daylight,dry,other regulatory sign,champaign,1999,0,2,406,-88.2899428343092,40.1513455996266,0.00197299328990561,0.00671984153799432
A-Injury,angle,clear,daylight,dry,stop sign / flasher,champaign,1999,0,2,407,-88.2289684976234,40.1157374807377,0.002666386787892513,0.005838433323636589
A-Injury,pedalcyclist,clear,daylight,dry,no controls,champaign,1999,0,1,408,-88.2322720679222,40.1126969557868,0.002628818947226489,0.005763171171315596
A-Injury,angle,clear,"darkness, lighted road",dry,traffic signal,champaign,2016,0,1,3960,-88.2451400023506,40.1102099974339,0.002482486202170952,0.005701611459951617
A-Injury,rear end,clear,daylight,dry,no controls,champaign,2001,0,1,197,-88.2446673332566,40.0979411632456,0.0024878613434892436,0.005397920853101591
A-Injury,turning,clear,daylight,dry,stop sign / flasher,st. joseph,2001,0,2,198,-88.0291233030222,40.1132777388328,0.00493900451646981,0.005777547301352086
A-Injury,rear end,clear,daylight,dry,no controls,champaign,2001,0,1,199,-88.230610930352,40.1127177155595,0.002647709222267457,0.005763685038230025
A-Injury,rear end,clear,daylight,dry,no controls,urbana,2001,0,1,200,-88.1928832350598,40.1383534926763,0.0030767444530145735,0.006398247751376812
A-Injury,turning,clear,"darkness, lighted road",dry,no controls,champaign,2001,0,3,201,-88.2578053854781,40.1143617760507,0.0023384568483893163,0.005804380488230281
A-Injury,angle,clear,daylight,dry,traffic signal,champaign,1999,0,3,409,-88.228942082915,40.1129939101816,0.0026666871730717874,0.0057705216871819795
A-Injury,rear end,clear,daylight,wet,lane use marking,unincorporated,1999,0,2,410,-88.1820523316897,40.1782458038765,0.003199912303332408,0.007385702631857121
A-Injury,fixed object,clear,darkness,dry,no controls,unincorporated,1999,0,1,411,-87.9581464142444,40.0500218352069,0.005746145944501615,0.004211773123939224
A-Injury,overturned,clear,darkness,dry,no controls,unincorporated,2002,0,1,133,-88.0120778739488,40.1118573558376,0.005132843274418093,0.005742388543221419
A-Injury,rear end,clear,daylight,dry,traffic signal,savoy,2002,0,2,188,-88.2528367606327,40.0456888509404,0.00239495950752413,0.004104518709936356
A-Injury,angle,clear,daylight,dry,stop sign / flasher,unincorporated,2002,0,1,157,-88.1822013661942,40.1892946028907,0.003198217499222764,0.007659193692710003
A-Injury,sideswipe - opp dir,clear,daylight,dry,lane use marking,unincorporated,2002,0,2,158,-88.3070054222527,40.1564235818908,0.001778959403160485,0.006845536896796919
A-Injury,rear end,clear,daylight,dry,no controls,champaign,2002,0,1,159,-88.2579431723527,40.1349977315601,0.0023368899510985727,0.006315182554294295
A-Injury,pedalcyclist,rain,"darkness, lighted road",wet,traffic signal,champaign,2002,0,1,161,-88.2767915047882,40.1128753059218,0.0021225487730055005,0.005767585874448517
A-Injury,rear end,clear,daylight,dry,no controls,champaign,2002,0,1,162,-88.2389683114994,40.1380046789629,0.002552669996540898,0.006389613561145314
A-Injury,overturned,snow,darkness,snow or slush,no controls,unincorporated,2002,0,1,163,-88.1825512050511,40.2163619069088,0.00319423916994693,0.0083291910092352
A-Injury,fixed object,clear,daylight,dry,lane use marking,champaign,2002,0,1,164,-88.3049669289858,40.1122849616436,0.0018021409259745566,0.005752973075111293
A-Injury,turning,clear,"darkness, lighted road",dry,stop sign / flasher,champaign,2002,0,1,165,-88.2728720505444,40.1573478442558,0.00216712037863562,0.006868415174733416
A-Injury,overturned,fog/smoke/haze,darkness,wet,lane use marking,unincorporated,2004,0,2,513,-88.1065987906105,40.1133682290579,0.004057961732455368,0.005779787207031161
A-Injury,pedalcyclist,clear,darkness,dry,no controls,st. joseph,2004,0,2,514,-88.0362529924743,40.1131405550763,0.004857926466630149,0.005774151590103393
A-Injury,angle,fog/smoke/haze,dawn,wet,traffic signal,champaign,2004,0,3,515,-88.3145129624667,40.1132597945671,0.0016935844757203957,0.005777103126717701
A-Injury,fixed object,clear,daylight,dry,no controls,unincorporated,2003,0,1,85,-87.9448570042125,40.1200698408011,0.005897271664092238,0.005945672286732369
A-Injury,angle,clear,daylight,dry,traffic signal,champaign,2004,0,3,517,-88.278360424861,40.1128631616583,0.0021047071852741605,0.0057672852673414645
A-Injury,angle,clear,daylight,dry,stop sign/flasher,unincorporated,2004,0,3,518,-88.3938981027963,40.2380032599097,0.0007908253292786533,0.008864879692041623
A-Injury,overturned,clear,daylight,dry,no controls,unincorporated,2004,0,2,519,-88.3940770332246,40.2598363375365,0.0007887905519883635,0.00940531413692224
A-Injury,rear end,clear,daylight,dry,no controls,unincorporated,2004,0,6,520,-88.1605868373514,39.9090642836262,0.0034440155607724883,0.0007226490781951961
A-Injury,fixed object,clear,darkness,dry,no controls,unincorporated,2004,0,1,521,-88.1611592034223,39.9716945193213,0.003437506676320426,0.0022729360894538308
A-Injury,angle,clear,daylight,dry,no controls,champaign,2004,0,2,523,-88.2768073771123,40.1155299269292,0.002122368274669215,0.005833295741606358
A-Injury,turning,clear,daylight,dry,traffic signal,champaign,2004,0,2,524,-88.2769570957819,40.1274234623449,0.0021206656903089136,0.006127696573221794
A-Injury,angle,clear,daylight,dry,stop sign/flasher,unincorporated,2004,0,1,525,-88.1918543530927,40.1892895477059,0.0030884447863836857,0.007659068561657105
A-Injury,train,clear,darkness,dry,other rr crossing,unincorporated,2004,0,2,526,-88.3148350994475,40.1493702846717,0.0016899211691540953,0.006670946542091032
A-Injury,angle,clear,dusk,dry,stop sign/flasher,unincorporated,2004,0,1,527,-88.0476447773063,40.0909455365978,0.004728380333579491,0.005224758018771899
A-Injury,turning,clear,"darkness, lighted road",dry,no controls,champaign,2004,0,1,528,-88.2436445416085,40.1312173903362,0.002499492418415738,0.00622160772047008
A-Injury,sideswipe same direction,clear,"darkness, lighted road",wet,lane use marking,champaign,2004,0,1,529,-88.2579521407561,40.1341661647697,0.0023367879633944422,0.006294598771081014
A-Injury,turning,clear,daylight,unknown,traffic signal,champaign,2004,0,2,530,-88.2579447238729,40.1380089461832,0.002336872307380301,0.0063897191877029785
A-Injury,rear end,clear,daylight,dry,no controls,unincorporated,2004,0,2,531,-88.239860933143,40.1750021591805,0.002542519200690102,0.0073054126539329415
A-Injury,turning,rain,daylight,wet,stop sign/flasher,champaign,2004,0,2,532,-88.26982793414,40.1568231268593,0.002201737737948611,0.006855426838423486
A-Injury,fixed object,clear,darkness,dry,lane use marking,pesotum,2004,0,3,533,-88.2804749563249,39.9062420123962,0.002080660964387751,0.0006527893629704007
A-Injury,fixed object,clear,darkness,dry,lane use marking,unincorporated,2004,0,1,534,-88.3031956418406,39.9457224093689,0.0018222838099534449,0.0016300481254007508
A-Injury,overturned,rain,darkness,wet,lane use marking,unincorporated,2004,0,1,535,-88.3036515328115,39.9903472114818,0.0018170994676187306,0.0027346464129181644
A-Injury,head on,snow,daylight,ice,no controls,unincorporated,2004,0,2,536,-88.3036882122012,40.0253925054461,0.0018166823536047594,0.0036021230148440336
A-Injury,parked motor vehicle,clear,daylight,dry,no controls,homer,2002,0,1,127,-87.9580587450024,40.0391712952429,0.005747142909547485,0.003943189571847563
A-Injury,turning,clear,daylight,dry,no controls,champaign,2016,0,1,3970,-88.2369974628181,40.1065488035308,0.0025750822725149423,0.005610985881256594
A-Injury,pedestrian,rain,"darkness, lighted road",wet,lane use marking,urbana,2016,0,1,3971,-88.219197578227,40.1037001942299,0.0027775006162188637,0.005540474219431915
A-Injury,pedalcyclist,clear,daylight,dry,stop sign/flasher,urbana,2016,0,1,3973,-88.2045875551512,40.1170911523189,0.002943644203124826,0.005871940773298123
A-Injury,pedestrian,clear,daylight,dry,no controls,urbana,2016,0,1,3974,-88.2152292959344,40.1164556028788,0.0028226274890873135,0.005856209010020192
A-Injury,sideswipe same direction,clear,daylight,dry,lane use marking,unincorporated,2016,0,1,3976,-88.2324984685273,40.1349600565062,0.0026262443442697393,0.0063142499832117265
A-Injury,turning,clear,daylight,dry,no controls,urbana,2016,0,4,3977,-88.2007934851219,40.1245804453462,0.002986789953160293,0.006057323337723619
A-Injury,head on,clear,darkness,dry,no controls,champaign,2016,0,2,3978,-88.2392687172259,40.1566580422339,0.002549253815425542,0.006851340496616257
A-Injury,rear end,clear,daylight,dry,no controls,urbana,2016,0,1,3979,-88.201756773096,40.122410318824,0.002975835547516436,0.006003606168646924
A-Injury,pedestrian,clear,daylight,dry,no controls,champaign,2016,0,1,3981,-88.2335499839697,40.1134899973561,0.00261428662549128,0.00578280133924682
A-Injury,rear end,clear,daylight,dry,lane use marking,urbana,2016,0,2,3982,-88.223542142433,40.1350794951475,0.0027280947065235167,0.006317206449400832
A-Injury,rear end,clear,"darkness, lighted road",dry,traffic signal,urbana,2016,0,3,3985,-88.2236588486748,40.1164044860495,0.0027267675358868928,0.005854943714502014
A-Injury,turning,rain,daylight,wet,stop sign/flasher,urbana,2016,0,2,3987,-88.2088001176781,40.1066200360369,0.0028957394021089655,0.005612749100375334
A-Injury,rear end,clear,daylight,dry,traffic signal,unincorporated,2016,0,1,3988,-88.2188337268596,40.0835200763142,0.002781638294233899,0.005040955507053391
A-Injury,fixed object,clear,daylight,dry,lane use marking,champaign,2016,0,2,3989,-88.234991000561,40.1348289986918,0.002597899542183628,0.006311005907484829
A-Injury,rear end,rain,daylight,wet,stop sign/flasher,urbana,2016,0,1,3991,-88.2260610121397,40.1042127682458,0.0026994503952963915,0.005553161970489205
A-Injury,overturned,clear,"darkness, lighted road",dry,no controls,champaign,2016,0,1,3993,-88.2364518150277,40.1272699769496,0.0025812873195988715,0.0061238973473029795
A-Injury,rear end,cloudy/overcast,daylight,dry,no controls,unincorporated,2016,0,3,3995,-88.2392490087855,40.0833382100734,0.0025494779376573733,0.005036453769709255
A-Injury,pedalcyclist,clear,daylight,dry,no controls,champaign,2016,0,1,3996,-88.2351614446879,40.1041100533405,0.002595961270186061,0.005550619467147382
A-Injury,angle,clear,daylight,dry,stop sign/flasher,urbana,2016,0,2,3997,-88.190571065528,40.090689977765,0.0031030381924257756,0.005218432167771948
A-Injury,angle,clear,daylight,dry,stop sign/flasher,champaign,2016,0,1,4001,-88.2412099959683,40.1211198508478,0.002527177805567466,0.005971663198614134
A-Injury,turning,rain,daylight,wet,no controls,urbana,2016,0,1,4002,-88.2195529792588,40.132163060967,0.0027734590344974303,0.006245015917479017
A-Injury,parked motor vehicle,clear,"darkness, lighted road",dry,other,champaign,2016,0,2,4008,-88.2322644533074,40.1281358561563,0.0026289055397944487,0.006145330466188246
A-Injury,fixed object,clear,"darkness, lighted road",dry,traffic signal,champaign,2016,0,3,4016,-88.2389816961072,40.1272285673897,0.0025525177882427166,0.006122872335946404
A-Injury,turning,rain,daylight,wet,stop sign/flasher,urbana,2016,0,1,4019,-88.1957700023629,40.1129699984157,0.003043916450497839,0.005769929798940132
A-Injury,rear end,clear,daylight,wet,no controls,urbana,2016,0,1,4020,-88.2192141582196,40.1043659480718,0.0027773120703536197,0.005556953632647261
A-Injury,pedalcyclist,clear,daylight,dry,traffic signal,champaign,2002,0,1,129,-88.2860458398548,40.1129354097116,0.0020173094852633626,0.005769073624312943
A-Injury,fixed object,clear,daylight,dry,lane use marking,unincorporated,2016,0,2,4022,-88.2042630008843,40.1350249992636,0.0029473349988046434,0.006315857512101748
A-Injury,turning,clear,daylight,dry,traffic signal,urbana,2016,0,2,4023,-88.2144299636557,40.1164625527823,0.0028317174084683105,0.005856381041068887
A-Injury,fixed object,clear,"darkness, lighted road",dry,no controls,champaign,2016,0,2,4024,-88.2287736981975,40.1183899752896,0.0026686020256904337,0.0059040905546147455
A-Injury,rear end,clear,daylight,dry,traffic signal,urbana,2016,0,2,4026,-88.1994300022186,40.1273899981557,0.0030022953318352085,0.006126868233725944
A-Injury,rear end,clear,daylight,dry,no controls,urbana,2016,0,1,4027,-88.195416142267,40.1339739056571,0.003047940508864521,0.006289839778850588
A-Injury,turning,clear,daylight,dry,traffic signal,urbana,2016,0,1,4028,-88.2075100021597,40.1164099975732,0.0029104104548950075,0.005855080141317505
A-Injury,rear end,clear,daylight,dry,no controls,urbana,2016,0,1,4029,-88.1994746814873,40.1273133954987,0.0030017872440708574,0.00612497208719462
A-Injury,sideswipe same direction,clear,daylight,dry,lane use marking,urbana,2016,0,1,4031,-88.2235393796058,40.1349366311506,0.002728126125092806,0.00631367013509016
A-Injury,animal,clear,dusk,dry,no controls,unincorporated,2016,0,2,4033,-87.998845903301,40.0778544951804,0.005283315799605406,0.004900715306046818
A-Injury,angle,clear,daylight,dry,stop sign/flasher,unincorporated,2016,0,6,4034,-88.0665300022205,39.9818199978502,0.004513619618247663,0.0025235721867305646
A-Injury,other object,clear,"darkness, lighted road",dry,no controls,unincorporated,2016,0,2,4035,-88.177948753621,40.1275434184044,0.0032465777449916765,0.0061306658470701245
A-Injury,rear end,clear,daylight,dry,traffic signal,st joseph,2016,0,1,4039,-88.0385935394215,40.1204121297535,0.0048313100223499736,0.005954144969472703
A-Injury,overturned,rain,daylight,wet,traffic signal,urbana,2016,0,1,4040,-88.1836232853589,40.1159475178414,0.0031820475897648623,0.005843632374704062
A-Injury,fixed object,clear,daylight,dry,no controls,urbana,2016,0,1,4041,-88.1874029137969,40.1175731044452,0.003139066067928588,0.005883870540337308
A-Injury,fixed object,clear,daylight,dry,lane use marking,unincorporated,2016,0,1,4042,-88.0119800007078,40.1117599995387,0.005133956278226373,0.0057399786815311915
A-Injury,angle,clear,daylight,dry,stop sign/flasher,unincorporated,2016,0,1,4045,-88.2787200014218,39.9063499996359,0.0021006181198929357,0.0006554623724718461
A-Injury,angle,clear,daylight,dry,lane use marking,unincorporated,2016,0,3,4046,-88.3029920014924,39.9399859989359,0.0018245995857543345,0.0014880546858611827
A-Injury,pedalcyclist,clear,daylight,dry,no controls,unincorporated,2016,0,1,4047,-88.4624274930438,39.9289342373796,1.1516587250282317e-05,0.0012144902931663449
A-Injury,turning,clear,"darkness, lighted road",wet,traffic signal,urbana,2016,0,1,4048,-88.1994300022186,40.1273899981557,0.0030022953318352085,0.006126868233725944
A-Injury,fixed object,clear,"darkness, lighted road",dry,no controls,urbana,2016,0,1,4049,-88.2195497317421,40.1298999994378,0.0027734959649025506,0.0061889983270058315
A-Injury,rear end,clear,daylight,wet,no controls,urbana,2016,0,1,4051,-88.1901908565219,40.1274699979519,0.0031073618877219007,0.006128848469686647
A-Injury,sideswipe same direction,clear,"darkness, lighted road",dry,lane use marking,unincorporated,2016,0,1,4052,-88.2324890788602,40.134849998388,0.002626351122538574,0.006311525713228706
A-Injury,pedestrian,rain,darkness,wet,lane use marking,unincorporated,2016,0,1,4054,-88.1534320008581,40.1133409987877,0.003525379580018447,0.00577911317581072
A-Injury,fixed object,sleet/hail,darkness,ice,lane use marking,unincorporated,2016,0,1,4056,-88.1539200006709,40.1202999992687,0.0035198300994402263,0.005951369402173406
A-Injury,rear end,sleet/hail,darkness,ice,lane use marking,unincorporated,2016,0,2,4058,-87.9476382066795,40.1201407595276,0.005865644133363301,0.005947427738860691
