crash_severity,collision_type,weather,light,road_surface,traffic_control,city,year,fatality,injury,id,Geometry,point,x,y
A-Injury,Fixed object,Sleet / hail,Darkness,Ice,Lane Use Marking,Unincorporated,2001,0,2,245,POINT (-88.3034049570285 39.967600699426),POINT,-88.3034049570285,39.967600699426
A-Injury,Pedestrian,Rain,Darkness,Wet,No Controls,Champaign,2005,0,2,742,POINT (-88.265285 40.127257),POINT,-88.265285,40.127257
A-Injury,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,2016,0,1,3951,POINT (-88.1929670773135 40.0947485023936),POINT,-88.1929670773135,40.0947485023936
A-Injury,Turning,Rain,Daylight,Wet,Traffic Signal,Champaign,2016,0,1,3953,POINT (-88.2435094712078 40.116360004424),POINT,-88.2435094712078,40.116360004424
A-Injury,Angle,Rain,Daylight,Wet,Traffic Signal,Champaign,2016,0,1,3954,POINT (-88.2468498673379 40.1163402044024),POINT,-88.2468498673379,40.1163402044024
A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2016,0,1,3955,POINT (-88.271466742574 40.1127916046133),POINT,-88.271466742574,40.1127916046133
A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2016,0,2,3956,POINT (-88.2579100024449 40.1426299975616),POINT,-88.2579100024449,40.1426299975616
A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2001,0,1,246,POINT (-88.3036982292022 40.0560952818615),POINT,-88.3036982292022,40.0560952818615
A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Traffic signal,Champaign,2001,0,1,247,POINT (-88.2579431723527 40.1349977315601),POINT,-88.2579431723527,40.1349977315601
A-Injury,Overturned,Snow,Dawn,Ice,No Controls,Champaign,2001,0,3,248,POINT (-88.3022057853353 40.130034704209),POINT,-88.3022057853353,40.130034704209
A-Injury,Overturned,Snow,"Darkness, lighted road",Ice,Lane Use Marking,Urbana,2001,0,4,249,POINT (-88.2008168239823 40.1347411290622),POINT,-88.2008168239823,40.1347411290622
A-Injury,Fixed object,Rain,Darkness,Wet,No Controls,Unincorporated,2001,0,1,250,POINT (-88.2386036926573 40.1847687599949),POINT,-88.2386036926573,40.1847687599949
A-Injury,Fixed object,Rain,Daylight,Wet,No Controls,Unincorporated,2001,0,1,251,POINT (-88.3034049570285 39.967600699426),POINT,-88.3034049570285,39.967600699426
A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2001,0,2,252,POINT (-88.2321058609005 40.1943045787792),POINT,-88.2321058609005,40.1943045787792
A-Injury,Sideswipe - same dir,Clear,Daylight,Dry,No Controls,Unincorporated,2001,0,1,253,GEOMETRYCOLLECTION EMPTY,GEOMETRYCOLLECTION,EMPTY,
A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2001,0,1,254,POINT (-88.1835857714899 40.2769346753097),POINT,-88.1835857714899,40.2769346753097
A-Injury,Overturned,Snow,Darkness,Ice,Lane Use Marking,Mahomet,2001,0,5,255,POINT (-88.3940969195665 40.1967191123931),POINT,-88.3940969195665,40.1967191123931
A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Champaign,2001,0,1,258,POINT (-88.295351096559 40.1360713386978),POINT,-88.295351096559,40.1360713386978
A-Injury,Overturned,Rain,Daylight,Snow or slush,No Controls,Unincorporated,2001,0,1,259,GEOMETRYCOLLECTION EMPTY,GEOMETRYCOLLECTION,EMPTY,
A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2001,0,1,260,GEOMETRYCOLLECTION EMPTY,GEOMETRYCOLLECTION,EMPTY,
A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2001,0,1,262,GEOMETRYCOLLECTION EMPTY,GEOMETRYCOLLECTION,EMPTY,
A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Champaign,2001,0,1,263,POINT (-88.2900876827635 40.119508035048),POINT,-88.2900876827635,40.119508035048
A-Injury,Rear end,Clear,"Darkness, lighted road",Dry,Traffic signal,Urbana,2001,0,5,264,POINT (-88.2195613721625 40.1341663829274),POINT,-88.2195613721625,40.1341663829274
A-Injury,Pedalcyclist,Clear,Daylight,Wet,No Controls,Champaign,2001,0,1,265,POINT (-88.238972056694 40.1384995146142),POINT,-88.238972056694,40.1384995146142
A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2001,0,1,266,POINT (-88.165164809246 40.3413326961418),POINT,-88.165164809246,40.3413326961418
A-Injury,Angle,Clear,Daylight,Dry,Stop sign / flasher,Champaign,2003,0,1,99,POINT (-88.251765150853 40.1126397725265),POINT,-88.251765150853,40.1126397725265
A-Injury,Turning,Clear,Dusk,Dry,Traffic Signal,Champaign,2016,0,2,3958,POINT (-88.2580441754368 40.1380326484542),POINT,-88.2580441754368,40.1380326484542
A-Injury,Rear End,Clear,Daylight,Ice,No Controls,Savoy,2016,0,2,3959,POINT (-88.2513766048057 40.0547605930801),POINT,-88.2513766048057,40.0547605930801
A-Injury,Angle,Rain,Daylight,Wet,Stop sign / flasher,Unincorporated,2001,0,1,195,POINT (-88.288965715176 40.3112248396648),POINT,-88.288965715176,40.3112248396648
A-Injury,Angle,Fog / smoke / haze,Daylight,Snow or slush,Traffic signal,Champaign,2001,0,3,196,POINT (-88.2438403529465 40.1026980177415),POINT,-88.2438403529465,40.1026980177415
A-Injury,Rear end,Clear,Darkness,Dry,Stop sign / flasher,Unincorporated,2002,0,2,150,POINT (-88.2954350365736 40.1130326373836),POINT,-88.2954350365736,40.1130326373836
A-Injury,Turning,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2001,0,4,202,POINT (-88.2769999645002 40.139252661171),POINT,-88.2769999645002,40.139252661171
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,2,128,POINT (-88.0391874199548 40.3127407314262),POINT,-88.0391874199548,40.3127407314262
A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,1,130,POINT (-88.4428841348896 40.199148872209),POINT,-88.4428841348896,40.199148872209
A-Injury,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,2002,0,1,131,POINT (-88.2863484309568 40.1439396604084),POINT,-88.2863484309568,40.1439396604084
A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2002,0,1,132,POINT (-87.9693928140473 40.119828845302),POINT,-87.9693928140473,40.119828845302
A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Champaign,2001,0,1,203,POINT (-88.2646037882196 40.1350689308504),POINT,-88.2646037882196,40.1350689308504
A-Injury,Sideswipe - same dir,Snow,Daylight,Snow or slush,Lane Use Marking,Unincorporated,2000,0,1,370,POINT (-88.2308673238392 40.1955301424497),POINT,-88.2308673238392,40.1955301424497
A-Injury,Rear end,Rain,Dusk,Wet,No Controls,Unincorporated,2000,0,1,371,POINT (-88.134262984341 40.3685056482313),POINT,-88.134262984341,40.3685056482313
A-Injury,Rear end,Rain,Daylight,Wet,Lane Use Marking,Champaign,2000,0,1,372,POINT (-88.257952815231 40.1338573917527),POINT,-88.257952815231,40.1338573917527
A-Injury,Overturned,Snow,Daylight,Ice,Lane Use Marking,Mahomet,2000,0,1,373,POINT (-88.3922931208003 40.1957999918025),POINT,-88.3922931208003,40.1957999918025
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2000,0,1,374,POINT (-87.9585017847475 40.0760788054915),POINT,-87.9585017847475,40.0760788054915
A-Injury,Overturned,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2000,0,1,375,POINT (-88.2221947287092 40.2041089355928),POINT,-88.2221947287092,40.2041089355928
A-Injury,Rear end,Rain,Daylight,Wet,No Controls,Champaign,2000,0,1,376,POINT (-88.2446673332566 40.0979411632456),POINT,-88.2446673332566,40.0979411632456
A-Injury,Other object,Other,Darkness,Snow or slush,No Controls,Savoy,2000,0,1,377,POINT (-88.2485971691373 40.0726726995047),POINT,-88.2485971691373,40.0726726995047
A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2000,0,1,378,POINT (-88.3840368757099 40.3650290371273),POINT,-88.3840368757099,40.3650290371273
A-Injury,Turning,Clear,Dawn,Dry,Lane Use Marking,Unincorporated,2000,0,2,379,POINT (-88.0974322505352 40.3123914850143),POINT,-88.0974322505352,40.3123914850143
A-Injury,Turning,Clear,Daylight,Dry,Traffic signal,Champaign,2000,0,3,380,POINT (-88.2771624954598 40.1361447388975),POINT,-88.2771624954598,40.1361447388975
A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2000,0,1,381,POINT (-88.243103873294 40.1125977605627),POINT,-88.243103873294,40.1125977605627
A-Injury,Fixed object,Rain,Dawn,Wet,No Controls,Unincorporated,2000,0,3,382,POINT (-88.3033890778241 39.9639785198385),POINT,-88.3033890778241,39.9639785198385
A-Injury,Overturned,Clear,Daylight,Wet,No Controls,Champaign,1999,0,1,383,POINT (-88.3048962541946 40.1253162406667),POINT,-88.3048962541946,40.1253162406667
A-Injury,Fixed object,Clear,Daylight,Dry,Other reg. sign,Unincorporated,1999,0,3,384,POINT (-88.2209429654598 40.2053266993996),POINT,-88.2209429654598,40.2053266993996
A-Injury,Angle,Clear,Darkness,Dry,Stop sign / flasher,Ludlow,1999,0,2,385,POINT (-88.1201647806137 40.3862289238),POINT,-88.1201647806137,40.3862289238
A-Injury,Rear end,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,1999,0,1,386,POINT (-88.1827971565014 40.2293913203202),POINT,-88.1827971565014,40.2293913203202
A-Injury,Angle,Clear,Daylight,Dry,Stop sign / flasher,Champaign,1999,0,2,387,POINT (-88.2337786306845 40.112693928483),POINT,-88.2337786306845,40.112693928483
A-Injury,Angle,Clear,Darkness,Dry,No Controls,Champaign,1999,0,2,388,POINT (-88.2771702035314 40.1366410117047),POINT,-88.2771702035314,40.1366410117047
A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,1999,0,1,389,POINT (-88.3844618077039 40.2960785085492),POINT,-88.3844618077039,40.2960785085492
A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,1999,0,1,390,POINT (-88.1850106759634 40.1293880989388),POINT,-88.1850106759634,40.1293880989388
A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,1999,0,1,391,POINT (-88.2024084682726 40.1163310736991),POINT,-88.2024084682726,40.1163310736991
A-Injury,Angle,Clear,Daylight,Ice,Traffic signal,Champaign,1999,0,2,392,POINT (-88.2450277978578 40.0958303055746),POINT,-88.2450277978578,40.0958303055746
A-Injury,Angle,Clear,"Darkness, lighted road",Ice,No Controls,Champaign,1999,0,1,396,POINT (-88.2862373721509 40.1129358103014),POINT,-88.2862373721509,40.1129358103014
A-Injury,Sideswipe - opp dir,Clear,"Darkness, lighted road",Unknown,Traffic signal,Urbana,1999,0,2,397,POINT (-88.207353190925 40.1164062535274),POINT,-88.207353190925,40.1164062535274
A-Injury,Other non collision,Clear,Daylight,Dry,No Controls,Unincorporated,1999,0,2,398,POINT (-88.303608117976 40.0469696809419),POINT,-88.303608117976,40.0469696809419
A-Injury,Rear end,Clear,Daylight,Dry,Police / flagman,Unincorporated,1999,0,2,399,POINT (-88.407607361042 40.1508863549962),POINT,-88.407607361042,40.1508863549962
A-Injury,Angle,Clear,Daylight,Dry,Traffic signal,Champaign,1999,0,4,400,POINT (-88.2436315812678 40.1325649346717),POINT,-88.2436315812678,40.1325649346717
A-Injury,Rear end,Clear,Dawn,Dry,No Controls,Unincorporated,1999,0,1,401,POINT (-88.1267544035595 40.1205507317609),POINT,-88.1267544035595,40.1205507317609
A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,1999,0,1,402,POINT (-88.2710587183945 40.1376036691567),POINT,-88.2710587183945,40.1376036691567
A-Injury,Turning,Clear,Daylight,Dry,Traffic signal,Champaign,1999,0,1,403,POINT (-88.2467409787724 40.0848197129335),POINT,-88.2467409787724,40.0848197129335
A-Injury,Turning,Clear,"Darkness, lighted road",Ice,Traffic signal,Champaign,1999,0,5,404,POINT (-88.2467409787724 40.0848197129335),POINT,-88.2467409787724,40.0848197129335
A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Rantoul,1999,0,1,405,POINT (-88.1700715159224 40.283970447263),POINT,-88.1700715159224,40.283970447263
A-Injury,Turning,Clear,Daylight,Dry,Other reg. sign,Champaign,1999,0,2,406,POINT (-88.2899428343092 40.1513455996266),POINT,-88.2899428343092,40.1513455996266
A-Injury,Angle,Clear,Daylight,Dry,Stop sign / flasher,Champaign,1999,0,2,407,POINT (-88.2289684976234 40.1157374807377),POINT,-88.2289684976234,40.1157374807377
A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Champaign,1999,0,1,408,POINT (-88.2322720679222 40.1126969557868),POINT,-88.2322720679222,40.1126969557868
A-Injury,Angle,Clear,"Darkness, Lighted Road",Dry,Traffic Signal,Champaign,2016,0,1,3960,POINT (-88.2451400023506 40.1102099974339),POINT,-88.2451400023506,40.1102099974339
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2001,0,1,197,POINT (-88.2446673332566 40.0979411632456),POINT,-88.2446673332566,40.0979411632456
A-Injury,Turning,Clear,Daylight,Dry,Stop sign / flasher,St. Joseph,2001,0,2,198,POINT (-88.0291233030222 40.1132777388328),POINT,-88.0291233030222,40.1132777388328
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2001,0,1,199,POINT (-88.230610930352 40.1127177155595),POINT,-88.230610930352,40.1127177155595
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Urbana,2001,0,1,200,POINT (-88.1928832350598 40.1383534926763),POINT,-88.1928832350598,40.1383534926763
A-Injury,Turning,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,2001,0,3,201,POINT (-88.2578053854781 40.1143617760507),POINT,-88.2578053854781,40.1143617760507
A-Injury,Angle,Clear,Daylight,Dry,Traffic signal,Champaign,1999,0,3,409,POINT (-88.228942082915 40.1129939101816),POINT,-88.228942082915,40.1129939101816
A-Injury,Rear end,Clear,Daylight,Wet,Lane Use Marking,Unincorporated,1999,0,2,410,POINT (-88.1820523316897 40.1782458038765),POINT,-88.1820523316897,40.1782458038765
A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,1999,0,1,411,POINT (-87.9581464142444 40.0500218352069),POINT,-87.9581464142444,40.0500218352069
A-Injury,Overturned,Clear,Darkness,Dry,No Controls,Unincorporated,2002,0,1,133,POINT (-88.0120778739488 40.1118573558376),POINT,-88.0120778739488,40.1118573558376
A-Injury,Rear end,Clear,Daylight,Dry,Traffic signal,Savoy,2002,0,2,188,POINT (-88.2528367606327 40.0456888509404),POINT,-88.2528367606327,40.0456888509404
A-Injury,Angle,Clear,Daylight,Dry,Stop sign / flasher,Unincorporated,2002,0,1,157,POINT (-88.1822013661942 40.1892946028907),POINT,-88.1822013661942,40.1892946028907
A-Injury,Sideswipe - opp dir,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2002,0,2,158,POINT (-88.3070054222527 40.1564235818908),POINT,-88.3070054222527,40.1564235818908
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2002,0,1,159,POINT (-88.2579431723527 40.1349977315601),POINT,-88.2579431723527,40.1349977315601
A-Injury,Turning,Clear,"Darkness, lighted road",Dry,No Controls,Unincorporated,2002,0,1,160,GEOMETRYCOLLECTION EMPTY,GEOMETRYCOLLECTION,EMPTY,
A-Injury,Pedalcyclist,Rain,"Darkness, lighted road",Wet,Traffic signal,Champaign,2002,0,1,161,POINT (-88.2767915047882 40.1128753059218),POINT,-88.2767915047882,40.1128753059218
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Champaign,2002,0,1,162,POINT (-88.2389683114994 40.1380046789629),POINT,-88.2389683114994,40.1380046789629
A-Injury,Overturned,Snow,Darkness,Snow or slush,No Controls,Unincorporated,2002,0,1,163,POINT (-88.1825512050511 40.2163619069088),POINT,-88.1825512050511,40.2163619069088
A-Injury,Fixed object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2002,0,1,164,POINT (-88.3049669289858 40.1122849616436),POINT,-88.3049669289858,40.1122849616436
A-Injury,Turning,Clear,"Darkness, lighted road",Dry,Stop sign / flasher,Champaign,2002,0,1,165,POINT (-88.2728720505444 40.1573478442558),POINT,-88.2728720505444,40.1573478442558
A-Injury,Overturned,Fog/Smoke/Haze,Darkness,Wet,Lane Use Marking,Unincorporated,2004,0,2,513,POINT (-88.1065987906105 40.1133682290579),POINT,-88.1065987906105,40.1133682290579
A-Injury,Pedalcyclist,Clear,Darkness,Dry,No Controls,St. Joseph,2004,0,2,514,POINT (-88.0362529924743 40.1131405550763),POINT,-88.0362529924743,40.1131405550763
A-Injury,Angle,Fog/Smoke/Haze,Dawn,Wet,Traffic Signal,Champaign,2004,0,3,515,POINT (-88.3145129624667 40.1132597945671),POINT,-88.3145129624667,40.1132597945671
A-Injury,Fixed object,Clear,Daylight,Dry,No Controls,Unincorporated,2003,0,1,85,POINT (-87.9448570042125 40.1200698408011),POINT,-87.9448570042125,40.1200698408011
A-Injury,Angle,Clear,Daylight,Dry,Traffic Signal,Champaign,2004,0,3,517,POINT (-88.278360424861 40.1128631616583),POINT,-88.278360424861,40.1128631616583
A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2004,0,3,518,POINT (-88.3938981027963 40.2380032599097),POINT,-88.3938981027963,40.2380032599097
A-Injury,Overturned,Clear,Daylight,Dry,No Controls,Unincorporated,2004,0,2,519,POINT (-88.3940770332246 40.2598363375365),POINT,-88.3940770332246,40.2598363375365
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2004,0,6,520,POINT (-88.1605868373514 39.9090642836262),POINT,-88.1605868373514,39.9090642836262
A-Injury,Fixed object,Clear,Darkness,Dry,No Controls,Unincorporated,2004,0,1,521,POINT (-88.1611592034223 39.9716945193213),POINT,-88.1611592034223,39.9716945193213
A-Injury,Angle,Clear,Daylight,Dry,No Controls,Champaign,2004,0,2,523,POINT (-88.2768073771123 40.1155299269292),POINT,-88.2768073771123,40.1155299269292
A-Injury,Turning,Clear,Daylight,Dry,Traffic Signal,Champaign,2004,0,2,524,POINT (-88.2769570957819 40.1274234623449),POINT,-88.2769570957819,40.1274234623449
A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,2004,0,1,525,POINT (-88.1918543530927 40.1892895477059),POINT,-88.1918543530927,40.1892895477059
A-Injury,Train,Clear,Darkness,Dry,Other RR Crossing,Unincorporated,2004,0,2,526,POINT (-88.3148350994475 40.1493702846717),POINT,-88.3148350994475,40.1493702846717
A-Injury,Angle,Clear,Dusk,Dry,Stop Sign/Flasher,Unincorporated,2004,0,1,527,POINT (-88.0476447773063 40.0909455365978),POINT,-88.0476447773063,40.0909455365978
A-Injury,Turning,Clear,"Darkness, Lighted Road",Dry,No Controls,Champaign,2004,0,1,528,POINT (-88.2436445416085 40.1312173903362),POINT,-88.2436445416085,40.1312173903362
A-Injury,Sideswipe same direction,Clear,"Darkness, Lighted Road",Wet,Lane Use Marking,Champaign,2004,0,1,529,POINT (-88.2579521407561 40.1341661647697),POINT,-88.2579521407561,40.1341661647697
A-Injury,Turning,Clear,Daylight,Unknown,Traffic Signal,Champaign,2004,0,2,530,POINT (-88.2579447238729 40.1380089461832),POINT,-88.2579447238729,40.1380089461832
A-Injury,Rear end,Clear,Daylight,Dry,No Controls,Unincorporated,2004,0,2,531,POINT (-88.239860933143 40.1750021591805),POINT,-88.239860933143,40.1750021591805
A-Injury,Turning,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,2004,0,2,532,POINT (-88.26982793414 40.1568231268593),POINT,-88.26982793414,40.1568231268593
A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Pesotum,2004,0,3,533,POINT (-88.2804749563249 39.9062420123962),POINT,-88.2804749563249,39.9062420123962
A-Injury,Fixed object,Clear,Darkness,Dry,Lane Use Marking,Unincorporated,2004,0,1,534,POINT (-88.3031956418406 39.9457224093689),POINT,-88.3031956418406,39.9457224093689
A-Injury,Overturned,Rain,Darkness,Wet,Lane Use Marking,Unincorporated,2004,0,1,535,POINT (-88.3036515328115 39.9903472114818),POINT,-88.3036515328115,39.9903472114818
A-Injury,Head on,Snow,Daylight,Ice,No Controls,Unincorporated,2004,0,2,536,POINT (-88.3036882122012 40.0253925054461),POINT,-88.3036882122012,40.0253925054461
A-Injury,Parked Motor Vehicle,Clear,Daylight,Dry,No Controls,Homer,2002,0,1,127,POINT (-87.9580587450024 40.0391712952429),POINT,-87.9580587450024,40.0391712952429
A-Injury,Turning,Clear,Daylight,Dry,No Controls,Champaign,2016,0,1,3970,POINT (-88.2369974628181 40.1065488035308),POINT,-88.2369974628181,40.1065488035308
A-Injury,Pedestrian,Rain,"Darkness, Lighted Road",Wet,Lane Use Marking,Urbana,2016,0,1,3971,POINT (-88.219197578227 40.1037001942299),POINT,-88.219197578227,40.1037001942299
A-Injury,Pedalcyclist,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2016,0,1,3973,POINT (-88.2045875551512 40.1170911523189),POINT,-88.2045875551512,40.1170911523189
A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,2016,0,1,3974,POINT (-88.2152292959344 40.1164556028788),POINT,-88.2152292959344,40.1164556028788
A-Injury,Sideswipe Same Direction,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,2016,0,1,3976,POINT (-88.2324984685273 40.1349600565062),POINT,-88.2324984685273,40.1349600565062
A-Injury,Turning,Clear,Daylight,Dry,No Controls,Urbana,2016,0,4,3977,POINT (-88.2007934851219 40.1245804453462),POINT,-88.2007934851219,40.1245804453462
A-Injury,Head On,Clear,Darkness,Dry,No Controls,Champaign,2016,0,2,3978,POINT (-88.2392687172259 40.1566580422339),POINT,-88.2392687172259,40.1566580422339
A-Injury,Rear End,Clear,Daylight,Dry,No Controls,Urbana,2016,0,1,3979,POINT (-88.201756773096 40.122410318824),POINT,-88.201756773096,40.122410318824
A-Injury,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,2016,0,1,3981,POINT (-88.2335499839697 40.1134899973561),POINT,-88.2335499839697,40.1134899973561
A-Injury,Rear End,Clear,Daylight,Dry,Lane Use Marking,Urbana,2016,0,2,3982,POINT (-88.223542142433 40.1350794951475),POINT,-88.223542142433,40.1350794951475
A-Injury,Rear End,Clear,"Darkness, Lighted Road",Dry,Traffic Signal,Urbana,2016,0,3,3985,POINT (-88.2236588486748 40.1164044860495),POINT,-88.2236588486748,40.1164044860495
A-Injury,Turning,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,2016,0,2,3987,POINT (-88.2088001176781 40.1066200360369),POINT,-88.2088001176781,40.1066200360369
A-Injury,Rear End,Clear,Daylight,Dry,Traffic Signal,Unincorporated,2016,0,1,3988,POINT (-88.2188337268596 40.0835200763142),POINT,-88.2188337268596,40.0835200763142
A-Injury,Fixed Object,Clear,Daylight,Dry,Lane Use Marking,Champaign,2016,0,2,3989,POINT (-88.234991000561 40.1348289986918),POINT,-88.234991000561,40.1348289986918
A-Injury,Rear End,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,2016,0,1,3991,POINT (-88.2260610121397 40.1042127682458),POINT,-88.2260610121397,40.1042127682458
A-Injury,Overturned,Clear,"Darkness, Lighted Road",Dry,No Controls,Champaign,2016,0,1,3993,POINT (-88.2364518150277 40.1272699769496),POINT,-88.2364518150277,40.1272699769496
A-Injury,Rear End,Cloudy/Overcast,Daylight,Dry,No Controls,Unincorporated,2016,0,3,3995,POINT (-88.2392490087855 40.0833382100734),POINT,-88.2392490087855,40.0833382100734
A-Injury,Pedalcyclist,Clear,Daylight,Dry,No Controls,Champaign,2016,0,1,3996,POINT (-88.2351614446879 40.1041100533405),POINT,-88.2351614446879,40.1041100533405
A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,2016,0,2,3997,POINT (-88.190571065528 40.090689977765),POINT,-88.190571065528,40.090689977765
A-Injury,Angle,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,2016,0,1,4001,POINT (-88.2412099959683 40.1211198508478),POINT,-88.2412099959683,40.1211198508478
