"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2016","0","1","3990","POINT (-88.235139597772 40.1102714364119)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2016","0","1","3994","POINT (-88.21445521066 40.1183396457482)"
"B-Injury","Pedestrian","Cloudy/Overcast","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","3999","POINT (-88.2050000014289 40.1090999989142)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Snow or Slush","Stop Sign/Flasher","Urbana","2016","0","1","4000","POINT (-88.2217400059949 40.1006402020967)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Urbana","2016","0","1","4006","POINT (-88.2177400021645 40.1106199979048)"
"C-Injury","Pedestrian","Clear","Daylight","Wet","Stop Sign/Flasher","Champaign","2016","0","1","4009","POINT (-88.2304097448086 40.1202842220436)"
"C-Injury","Pedestrian","Clear","Dusk","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4012","POINT (-88.2303593994812 40.1079999550005)"
"C-Injury","Pedestrian","Clear","Daylight","Snow or Slush","No Controls","Urbana","2016","0","1","4013","POINT (-88.2201297047121 40.1105504103883)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","4014","POINT (-88.2191988423074 40.103595768612)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Wet","No Controls","Urbana","2016","0","1","4015","POINT (-88.2191974632733 40.1037001949981)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2016","0","1","4017","POINT (-88.2144552094209 40.1183409191258)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4021","POINT (-88.2387300022843 40.1163399977187)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","4025","POINT (-88.1960674493676 40.122061215723)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4030","POINT (-88.2049200019224 40.1092999980955)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","4036","POINT (-88.17486000667 40.1128899539412)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2016","0","1","4038","POINT (-88.1802533870961 39.9965756926764)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2016","0","1","4050","POINT (-88.2173799983739 40.1164498305349)"
"C-Injury","Pedestrian","Cloudy/Overcast","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4053","POINT (-88.2156786680988 40.1164532169956)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","Lane Use Marking","Unincorporated","2016","0","1","4054","POINT (-88.1534320008581 40.1133409987877)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","St Joseph","2016","1","0","4055","POINT (-88.0404600025063 40.1131599979591)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Sidney","2016","0","1","4057","POINT (-88.0779378187821 40.0259164299816)"
"B-Injury","Pedestrian","Other","Daylight","Dry","Stop Sign/Flasher","Rantoul","2016","0","1","4066","POINT (-88.1617296227839 40.2855687002282)"
"Fatal","Pedestrian","Rain","Daylight","Wet","Lane Use Marking","Mahomet","2016","1","0","4077","POINT (-88.3959800014458 40.1905199979813)"
"C-Injury","Pedestrian","Cloudy/Overcast","Daylight","Dry","Other","Mahomet","2016","0","1","4079","POINT (-88.4185397323059 40.1958277428443)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4080","POINT (-88.2800200016603 40.1092499979255)"
"PD","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","0","4083","POINT (-88.2766500024497 40.1072823476325)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Rantoul","2016","0","1","4095","POINT (-88.1364890008774 40.3087399988343)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2016","0","1","4096","POINT (-88.2256835940735 40.2004529220182)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4114","POINT (-88.2766579597896 40.1080525943013)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4143","POINT (-88.2452020045725 40.1228282265513)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2016","1","0","4145","POINT (-88.2603228562209 40.1272000389334)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2016","0","1","4147","POINT (-88.2688000007494 40.1271999987235)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4149","POINT (-88.2431251462486 40.1126405281215)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4163","POINT (-88.2768100028643 40.117414693694)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4172","POINT (-88.2531600021 40.1257679345)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2016","0","1","4179","POINT (-88.2548300031233 40.1271800714064)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2016","0","1","4185","POINT (-88.257970685663 40.1286930486442)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2016","0","1","4193","POINT (-88.2435100015841 40.1163599979244)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Savoy","2016","0","1","4199","POINT (-88.2570700023613 40.0545399981387)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2016","0","1","4203","POINT (-88.2193801256479 40.1164355707825)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2016","0","1","4208","POINT (-88.2411700570621 40.116339997755)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2016","0","1","4209","POINT (-88.2335639436636 40.1163551139316)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2017","0","1","4214","POINT (-88.2579447385217 40.123130120062)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2017","0","1","4216","POINT (-88.2860666652384 40.1131831754997)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2017","0","1","4224","POINT (-88.2144299805763 40.116461428262)"
"B-Injury","Pedestrian","Clear","Unkown","Dry","Unkown","Champaign","2016","0","1","4198","POINT (-88.272880005242 40.1346201054086)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2017","0","1","4233","POINT (-88.2191000012633 40.1060999994834)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Urbana","2017","0","1","4236","POINT (-88.2238000006684 40.1162999991094)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2017","0","1","4237","POINT (-88.2769000010503 40.1274999991577)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2017","0","1","4239","POINT (-88.1836212328571 40.1159479545796)"
"B-Injury","Pedestrian","Snow","Daylight","Snow or Slush","Other","Savoy","2017","0","1","4244","POINT (-88.1616000006809 40.081899998847)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Champaign","2017","0","1","4245","POINT (-88.2386503986661 40.1040999966368)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2017","0","1","4249","POINT (-88.2289300019827 40.1163999978894)"
"B-Injury","Pedestrian","Cloudy/Overcast","Daylight","Dry","Traffic Signal","Urbana","2017","0","1","4252","POINT (-88.215800001315 40.1162999987516)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2017","0","1","4254","POINT (-88.2238000011252 40.1090999991498)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Stop Sign/Flasher","Champaign","2017","0","1","4261","POINT (-88.2302000013793 40.1068999988063)"
"C-Injury","Pedestrian","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2017","0","1","4264","POINT (-88.2352000006894 40.1126999995482)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2017","0","1","4265","POINT (-88.2434702063239 40.1102199969953)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","School Zone","Champaign","2017","0","1","4274","POINT (-88.2812789656398 40.1060694638294)"
"PD","Pedestrian","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2017","0","0","4292","POINT (-88.0952840009162 40.1133499988062)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2017","0","1","4296","POINT (-88.2321026094333 40.1163500068186)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Unincorporated","2017","0","1","4298","POINT (-88.3615972917546 40.2043929880177)"
"C-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Urbana","2017","0","1","4303","POINT (-88.189431509851 40.1274699974696)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4304","POINT (-88.2641000014112 40.1280999995)"
"A-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2017","0","2","4305","POINT (-88.286060001989 40.1129099976613)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2017","0","1","4345","POINT (-88.1994000005041 40.1274999990039)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Lane Use Marking","Champaign","2017","0","3","4348","POINT (-88.2763000013301 40.0877999988161)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2017","0","1","4352","POINT (-88.2482000014028 40.1220999992517)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2017","0","1","4358","POINT (-88.219575091548 40.112189998744)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","St Joseph","2017","0","2","4359","POINT (-88.0416000012957 40.1114999990168)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2017","0","1","4361","POINT (-88.2255000007448 40.1060999988915)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2017","0","1","4377","POINT (-88.2238000012377 40.112699998778)"
"C-Injury","Pedestrian","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2017","0","1","4382","POINT (-88.2353000006185 40.1125999990866)"
"A-Injury","Pedestrian","Clear","Dusk","Wet","Other","Champaign","2017","0","1","4383","POINT (-88.2418000009351 40.116299999518)"
"A-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2017","0","1","4392","POINT (-88.2506000011391 40.1419999988041)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Other","Champaign","2017","0","1","4397","POINT (-88.22894000196 40.1115399980572)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","Other","Champaign","2017","0","1","4398","POINT (-88.2320499755091 40.1054310415048)"
"A-Injury","Pedestrian","Cloudy/Overcast","Darkness, Lighted Road","Wet","Stop Sign/Flasher","Champaign","2017","0","1","4402","POINT (-88.2426197870162 40.1102414466044)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Unincorporated","2017","0","1","4403","POINT (-88.0385000006662 40.088599998893)"
"B-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2017","0","1","4404","POINT (-88.2425090270982 40.1205382870839)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4405","POINT (-88.2368103303871 40.1173216147971)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Unincorporated","2017","0","1","4411","POINT (-88.1762205553182 40.1086999987235)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4412","POINT (-88.2951000007567 40.0838999990106)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4419","POINT (-88.2531000008692 40.1287999992049)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Other RR Crossing","Champaign","2017","0","1","4421","POINT (-88.2579000009776 40.1270999990102)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Urbana","2017","0","1","4423","POINT (-88.219205351377 40.1039529673773)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4424","POINT (-88.2769000013547 40.1273999990717)"
"B-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2017","0","1","4429","POINT (-88.2419226276745 40.1177380316364)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2017","1","0","4431","POINT (-88.2603936658455 40.127201050911)"
"A-Injury","Pedestrian","Rain","Daylight","Wet","No Controls","Champaign","2017","0","1","4433","POINT (-88.2452000008732 40.1172999989944)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2017","0","1","4434","POINT (-88.2501000014322 40.11629999907)"
"A-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","No Controls","Champaign","2017","0","1","4438","POINT (-88.2320000009469 40.1101999987909)"
"A-Injury","Pedestrian","Clear","Darkness, Lighted Road","Dry","Traffic Signal","Champaign","2017","0","1","4439","POINT (-88.2467000007648 40.1100999991803)"
"C-Injury","Pedestrian","Rain","Darkness","Wet","No Controls","Champaign","2017","0","1","4440","POINT (-88.2317510752099 40.1054335044294)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic signal","Rantoul","2000","0","1","339","POINT (-88.1513848457899 40.3082208714428)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Other","Urbana","2010","0","1","3479","POINT (-88.207410251414 40.1124603989868)"
"B-Injury","Pedestrian","Clear","Daylight","Dry","Unknown","Urbana","2007","0","1","3754","POINT (-88.2283908630282 40.1103772656778)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2005","0","1","660","POINT (-88.2388061320679 40.1241423297854)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2005","0","1","673","POINT (-88.2387058559046 40.1109134033882)"
"A-Injury","Pedestrian","Rain","Daylight","Wet","No Controls","Urbana","2005","0","1","720","POINT (-88.2076181225184 40.1124807618199)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2005","0","1","729","POINT (-88.1678601547572 40.1133309599387)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2005","0","1","731","POINT (-88.20902056614 40.116525243238)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2005","0","1","732","POINT (-88.2518038041985 40.1255399767328)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Other","Urbana","2005","0","1","765","POINT (-88.2221028814759 40.0981494859246)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2005","0","1","768","POINT (-88.2534293823804 40.0940785258179)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Mahomet","2006","0","1","786","POINT (-88.4009010478584 40.1943320051464)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2000","0","1","280","POINT (-88.2042352705419 40.1177043205374)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2006","0","1","859","POINT (-88.1905821197357 40.0915004303551)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","Other Warning Sign","Champaign","2006","0","1","880","POINT (-88.233516993508 40.1054138733446)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2006","0","1","887","POINT (-88.243511 40.111629)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2006","0","1","886","POINT (-88.2436208197678 40.1284417108248)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2006","0","1","888","POINT (-88.2435309210844 40.1212132168621)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2006","0","1","892","POINT (-88.2484154609834 40.1437322537124)"
"A-Injury","Pedestrian","Rain","Daylight","Wet","Traffic Signal","Champaign","2006","0","1","899","POINT (-88.2468468828576 40.1163417351464)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2006","0","2","903","POINT (-88.2192523166444 40.1059768134269)"
"C-Injury","Pedestrian","Clear","Daylight","Dry","NA","Urbana","2010","0","1","3445","GEOMETRYCOLLECTION EMPTY"
"A-Injury","Pedestrian","Clear","Dusk","Dry","No Controls","Champaign","2006","0","1","917","POINT (-88.2724605431086 40.1200340923848)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Urbana","2006","0","3","933","POINT (-88.2160501768253 40.1127805312967)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Wet","No Controls","Champaign","2006","0","1","942","POINT (-88.2368854626155 40.1193188022904)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2006","0","1","951","POINT (-88.2652437285152 40.1273192121104)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2006","0","1","957","POINT (-88.2370248123614 40.1303739513409)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Champaign","2006","0","1","972","POINT (-88.2869533772499 40.1129274595469)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic signal","Champaign","1999","0","1","433","POINT (-88.2578465808394 40.1182575235972)"
"A-Injury","Pedestrian","Rain","Darkness, lighted road","Wet","Stop Sign/Flasher","Urbana","2008","0","1","1207","POINT (-88.2144568567194 40.1183410234458)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2008","0","1","1212","POINT (-88.2579034539181 40.1182694417485)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2008","0","1","1220","POINT (-88.2350448087219 40.1102729055467)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2008","0","1","1264","POINT (-88.2468687766537 40.1202113312187)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2008","0","1","1269","POINT (-88.2239889413726 40.1128111217479)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2008","0","1","1305","POINT (-88.2182456893914 40.110603905649)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2008","0","1","1368","POINT (-88.2320504653094 40.110299991431)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2008","0","1","1376","POINT (-88.2156192888248 40.1164501497193)"
"A-Injury","Pedestrian","Clear","Daylight","Wet","No Controls","Champaign","2008","0","1","1380","POINT (-88.2951587696771 40.088680234933)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2009","0","1","1404","POINT (-88.2961372098039 40.1093545339774)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2009","0","1","1427","POINT (-88.2541137366633 40.1126498233272)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2000","0","1","301","POINT (-88.2542068124424 40.1126444455948)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Fisher","2009","0","1","1485","POINT (-88.3496486201198 40.3157155872327)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2009","0","1","1498","POINT (-88.276599634314 40.1045673248563)"
"A-Injury","Pedestrian","Rain","Daylight","Wet","No Controls","Urbana","2009","0","1","1567","POINT (-88.2045987190108 40.11248019111)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Other Warning Sign","Champaign","2009","0","1","1570","POINT (-88.2386912386381 40.1079468779865)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Urbana","2009","0","2","1595","POINT (-88.2287612428903 40.1173598488223)"
"A-Injury","Pedestrian","Clear","Daylight","Wet","No Controls","Unincorporated","2010","0","2","1617","POINT (-88.2734519647289 40.143943179759)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Wet","No Controls","Champaign","2010","0","1","1629","POINT (-88.2337636039307 40.1214450558028)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2010","0","1","1646","POINT (-88.2354879465929 40.1079628421227)"
"A-Injury","Pedestrian","Rain","Daylight","Wet","No Controls","Champaign","2010","0","1","1663","POINT (-88.2539429206728 40.1126495235437)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2010","0","1","1707","POINT (-88.2511423237451 40.1288032649433)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Urbana","2010","0","1","1720","POINT (-88.2222074647494 40.1164201568227)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2010","0","1","1739","POINT (-88.2764162169815 40.1128462301025)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2010","0","1","1741","POINT (-88.2859157243488 40.0983813394834)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Champaign","2010","0","1","1754","POINT (-88.2445883723397 40.0980934446604)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","Traffic Signal","Champaign","2009","0","1","1591","POINT (-88.2335626825195 40.1163554469249)"
"A-Injury","Pedestrian","Clear","Daylight","Snow or Slush","Traffic Signal","Champaign","2010","0","1","1792","POINT (-88.2860601406215 40.112910943994)"
"A-Injury","Pedestrian","Snow","Darkness","Snow or Slush","No Controls","Unincorporated","2010","0","1","1793","POINT (-88.1715224575134 40.1077304067223)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","No Controls","Champaign","2010","0","1","1796","POINT (-88.26845498276 40.1273118204988)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","Other","Champaign","2011","0","1","1821","POINT (-88.2435091115853 40.1163595649879)"
"A-Injury","Pedestrian","Rain","Darkness, lighted road","Wet","Traffic Signal","Urbana","2011","0","1","1828","POINT (-88.1906998147208 40.0984098714558)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2011","0","1","1872","POINT (-88.2035990490459 40.105640562549)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","No Controls","Urbana","2011","0","1","1879","POINT (-88.1956617695502 40.1056896247093)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2011","0","1","1891","POINT (-88.235392504874 40.1126505144051)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2011","0","1","1899","POINT (-88.235601661912 40.1163411416249)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2011","0","1","1926","POINT (-88.2452174378777 40.1212965769275)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2011","0","1","1931","POINT (-88.2320800272746 40.1126803308579)"
"A-Injury","Pedestrian","Clear","Darkness, lighted road","Dry","Traffic Signal","Champaign","2011","0","2","1945","POINT (-88.2335492036491 40.1126691988351)"
"A-Injury","Pedestrian","Clear","Darkness","Dry","School Zone","Urbana","2011","0","1","1951","POINT (-88.2049991586243 40.1036900070834)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","No Controls","Urbana","2011","0","2","1954","POINT (-88.2074239992347 40.1129908430836)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","Traffic Signal","Champaign","2011","0","1","1963","POINT (-88.2579100794734 40.1182694965733)"
"A-Injury","Pedestrian","Rain","Darkness, lighted road","Wet","Traffic Signal","Champaign","2011","0","1","1968","POINT (-88.2468109054203 40.1126098810458)"
"A-Injury","Pedestrian","Clear","Daylight","Snow or Slush","No Controls","Champaign","2011","0","1","1969","POINT (-88.2484902741488 40.1126102822963)"
"A-Injury","Pedestrian","Rain","Darkness, lighted road","Wet","No Controls","Champaign","2011","0","1","1970","POINT (-88.2335713617701 40.1101435427583)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","No Controls","Urbana","2011","0","1","1975","POINT (-88.2194715180836 40.1211951643367)"
"A-Injury","Pedestrian","Rain","Darkness","Wet","Stop Sign/Flasher","Champaign","2011","0","1","1977","POINT (-88.2335494232931 40.1144290680257)"
"A-Injury","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2012","0","1","2002","POINT (-88.2126408536794 40.1164908841194)"
"A-Injury","Pedestrian","Rain","Darkness, lighted road","Wet","Lane Use Marking","Urbana","2012","0","1","2005","POINT (-88.2239400191976 40.1113730104384)"
